,autor,titulo,tema,year
171, Buenos Aires,P38.-Regional and temporal assessment of neurodegeneration in inducible TDP-43-WT transgenic mice,Cellular and Molecular Neurobiology,2017
172," Argentina 
pablosilvapinto@gmail.com 
______________________________________________________________ ",P38.-Regional and temporal assessment of neurodegeneration in inducible TDP-43-WT transgenic mice,Cellular and Molecular Neurobiology,2017
173,"
Sebastian Omar Siri",P39.-Removal of Rab11 endosomes affects spines morphology and dendritic arbor development,Cellular and Molecular Neurobiology,2017
174, Gonzalo Quassollo,P39.-Removal of Rab11 endosomes affects spines morphology and dendritic arbor development,Cellular and Molecular Neurobiology,2017
175, Cecilia Conde ,P39.-Removal of Rab11 endosomes affects spines morphology and dendritic arbor development,Cellular and Molecular Neurobiology,2017
176,Maria Susana Sisti 1°3°,P40.-Lidocaine does not modify GFAP and NF expression in an excitotoxic spinal cord injury model,Cellular and Molecular Neurobiology,2017
177, Fabian Nishida 1°3°,P40.-Lidocaine does not modify GFAP and NF expression in an excitotoxic spinal cord injury model,Cellular and Molecular Neurobiology,2017
178, Carolina Natalia Zanuzzi 1°2°3°,P40.-Lidocaine does not modify GFAP and NF expression in an excitotoxic spinal cord injury model,Cellular and Molecular Neurobiology,2017
179," Agustina Elea Camiña 
1°",P40.-Lidocaine does not modify GFAP and NF expression in an excitotoxic spinal cord injury model,Cellular and Molecular Neurobiology,2017
180, Martina von Wernich 1°4°,P40.-Lidocaine does not modify GFAP and NF expression in an excitotoxic spinal cord injury model,Cellular and Molecular Neurobiology,2017
181, Enrique Leo Portiansky 1°3°,P40.-Lidocaine does not modify GFAP and NF expression in an excitotoxic spinal cord injury model,Cellular and Molecular Neurobiology,2017
182,María Clara Sokn,P41.-SUMO-E3 ligase PIAS4 regulates tau stability and promotes its phosphorylation,Cellular and Molecular Neurobiology,2017
183, Romina Paula Gobbini,P41.-SUMO-E3 ligase PIAS4 regulates tau stability and promotes its phosphorylation,Cellular and Molecular Neurobiology,2017
184, Maia Ludmila Budzinski,P41.-SUMO-E3 ligase PIAS4 regulates tau stability and promotes its phosphorylation,Cellular and Molecular Neurobiology,2017
185, Sergio Senin,P41.-SUMO-E3 ligase PIAS4 regulates tau stability and promotes its phosphorylation,Cellular and Molecular Neurobiology,2017
186, Eduardo Arzt,P41.-SUMO-E3 ligase PIAS4 regulates tau stability and promotes its phosphorylation,Cellular and Molecular Neurobiology,2017
187," 
Ana Clara Liberman 
Instituto de Investigación en Biomedicina de Buenos Aires CONICET - Instituto Partner de la Sociedad 
Max Planck 
csokn@ibioba-mpsp-conicet.gov.ar 
______________________________________________________________ ",P41.-SUMO-E3 ligase PIAS4 regulates tau stability and promotes its phosphorylation,Cellular and Molecular Neurobiology,2017
188,"
Gonzalo Nicolás Spelzini","P42.- 5""1 integrin and Cdc 42 participate in axon",Cellular and Molecular Neurobiology,2017
189, Denis Alejandro Nieto Bernachini,"P42.- 5""1 integrin and Cdc 42 participate in axon",Cellular and Molecular Neurobiology,2017
190, Mara Medori,"P42.- 5""1 integrin and Cdc 42 participate in axon",Cellular and Molecular Neurobiology,2017
191," Juan Guillermo 
Mahecha Castañeda","P42.- 5""1 integrin and Cdc 42 participate in axon",Cellular and Molecular Neurobiology,2017
192, Cindy Olmos Carreño,"P42.- 5""1 integrin and Cdc 42 participate in axon",Cellular and Molecular Neurobiology,2017
193, Gabriel Scicolone,"P42.- 5""1 integrin and Cdc 42 participate in axon",Cellular and Molecular Neurobiology,2017
194, Viviana Sanchez ,"P42.- 5""1 integrin and Cdc 42 participate in axon",Cellular and Molecular Neurobiology,2017
195,"
Angela I. Tissone 1°2°3°4°",P43.-The role of the inward rectifier potassium current IKir in the intrinsic pacemaker activity of thalamocortical neurons,Cellular and Molecular Neurobiology,2017
196, Marcela S. Nadal 1°2°3°4°,P43.-The role of the inward rectifier potassium current IKir in the intrinsic pacemaker activity of thalamocortical neurons,Cellular and Molecular Neurobiology,2017
197, Germán Mato 1°3°4°,P43.-The role of the inward rectifier potassium current IKir in the intrinsic pacemaker activity of thalamocortical neurons,Cellular and Molecular Neurobiology,2017
198, Yimy Amarillo 1°3°4°,P43.-The role of the inward rectifier potassium current IKir in the intrinsic pacemaker activity of thalamocortical neurons,Cellular and Molecular Neurobiology,2017
199,Mariela Fernanda Trinchero 1°,P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
200, Karina Andrea Büttner 1°,P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
201, Jessica Natalí Sulkes-Cuevas 1°,P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
202," Silvio 
Gabriel Temprana 1°",P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
203, Paula Fontanet 2°,P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
204, María Cristina Monzón-Salinas 1°,P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
205, Fernanda Ledda 2°,P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
206," 
Gustavo Paratcha 2°",P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
207, Alejandro Fabián Schinder 1° ,P44.-High plasticity of new granule cells in the aging hippocampus,Cellular and Molecular Neurobiology,2017
208,"
Milagros Trotta",P45.-Identification of a subpopulation of proopiomelanocortin neurons with a major role in energy balance and glucose homeostasis,Cellular and Molecular Neurobiology,2017
209, Ramiro Alsina,P45.-Identification of a subpopulation of proopiomelanocortin neurons with a major role in energy balance and glucose homeostasis,Cellular and Molecular Neurobiology,2017
210, Viviana Florencia Bumaschny ,P45.-Identification of a subpopulation of proopiomelanocortin neurons with a major role in energy balance and glucose homeostasis,Cellular and Molecular Neurobiology,2017
211," 
1° Laboratorio de Análisis de Imágenes","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
212, Facultad de Ciencias Veterinarias,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
213," Universidad Nacional de La 
Plata (UNLP)","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
214, Buenos Aires,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
215, Argentina.,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
216, 2° Cátedra de Histología y Embriología,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
217," Facultad de Ciencias 
Veterinarias","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
218, Universidad Nacional de La Plata (UNLP),"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
219, Buenos Aires,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
220, Argentina.,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
221," 3° Consejo Nacional de 
Investigaciones Científicas y Técnicas (CONICET)","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
222, Argentina,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
223, 4° INIBIOLP-Pathology B,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
224, School of Medicine,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
225," 
UNLP","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
226, La Plata,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
227, Argentina,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
228, 5° Comisión de Investigaciones Científicas (CIC),"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
229," Argentina 6° Cátedra de 
Patología General","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
230, Facultad de Ciencias Veterinarias,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
231, Universidad Nacional de La Plata (UNLP),"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
232," Buenos 
Aires","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
233, Argentina,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
234, 7° Departamento de histología y embriología B,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
235, Facultad de Ciencias Médicas,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
236, UNLP,"P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
237," La 
Plata","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
238," Argentina. 
carozanuzzi@gmail.com 
______________________________________________________________ ","P46.-Microglia and astrocyte reactivity in a rat spinal cord excitotoxic model Carolina Natalia Zanuzzi 1°2°3°, Fabián Nishida 1°3°6°, Susana Sisti 1°3°6°, Eugenia Falomir Lockhart 3°4°7°, María José Bellini 3°4°7°, Paula Reggiani 3°4°7°, Agustina Camiña 6°, Martina von Wernich 1°5°, Claudio Barbeito 2°3°6°, Portiansky Enrique 1°3°6°",Cellular and Molecular Neurobiology,2017
239,Julieta Acosta 1°,P47.-Circadian modulation of motivational behavior in mice,Chronobiology,2017
240, Ivana Leda Bussi 2°,P47.-Circadian modulation of motivational behavior in mice,Chronobiology,2017
241, Diego Andrés Golombek 1°,P47.-Circadian modulation of motivational behavior in mice,Chronobiology,2017
242, Patricia Verónica Agostino 1°. ,P47.-Circadian modulation of motivational behavior in mice,Chronobiology,2017
243,Maria Soledad Alessandro 1°,P48.-Photic synchronization of the circadian clock: Role of phosphatase 2A in the NO-cGMP-PKG pathway,Chronobiology,2017
244, Santiago Plano 1°,P48.-Photic synchronization of the circadian clock: Role of phosphatase 2A in the NO-cGMP-PKG pathway,Chronobiology,2017
245, Shogo Endo 2°,P48.-Photic synchronization of the circadian clock: Role of phosphatase 2A in the NO-cGMP-PKG pathway,Chronobiology,2017
246, Diego Golombek 1°,P48.-Photic synchronization of the circadian clock: Role of phosphatase 2A in the NO-cGMP-PKG pathway,Chronobiology,2017
247," Juan José 
Chiesa 1°",P48.-Photic synchronization of the circadian clock: Role of phosphatase 2A in the NO-cGMP-PKG pathway,Chronobiology,2017
248,"
Carlos Caldart",P491.-Photic and thermic synchronization of,Chronobiology,2017
249, Melisa Lamberti,P491.-Photic and thermic synchronization of,Chronobiology,2017
250, Eugenia Goya,P491.-Photic and thermic synchronization of,Chronobiology,2017
251, Diego Golombek ,P491.-Photic and thermic synchronization of,Chronobiology,2017
252,"
Florencia Fernández-Chiappe",P50.-The surprising effects of acute downregulation of a GABA receptor in Drosophila sleep behavior,Chronobiology,2017
253, Nara I. Muraro ,P50.-The surprising effects of acute downregulation of a GABA receptor in Drosophila sleep behavior,Chronobiology,2017
254,"
Anastasia Herrero",P51.-Cell autonomous and non-autonomous mechanisms underlying axonal terminal remodeling of pacemaker neurons in Drosophila,Chronobiology,2017
255, José Duhart,P51.-Cell autonomous and non-autonomous mechanisms underlying axonal terminal remodeling of pacemaker neurons in Drosophila,Chronobiology,2017
256, María Fernanda Ceriani ,P51.-Cell autonomous and non-autonomous mechanisms underlying axonal terminal remodeling of pacemaker neurons in Drosophila,Chronobiology,2017
257,"
Malena L Mul Fedele",P52.-Differential thermoregulatory pattern in the circadian response to LPS-induced septic shock,Chronobiology,2017
258, Carlos S Caldart Valle,P52.-Differential thermoregulatory pattern in the circadian response to LPS-induced septic shock,Chronobiology,2017
259, Natalia Paladino,P52.-Differential thermoregulatory pattern in the circadian response to LPS-induced septic shock,Chronobiology,2017
260, Diego A Golombek,P52.-Differential thermoregulatory pattern in the circadian response to LPS-induced septic shock,Chronobiology,2017
261," Luciano 
Marpegan  ",P52.-Differential thermoregulatory pattern in the circadian response to LPS-induced septic shock,Chronobiology,2017
262,Fernanda R. Román 1°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
263, Andrés H. Calderón 2°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
264, Damián Dellavale 3°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
265, Guadalupe Cascallares 4°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
266," 
D. Lorena Franco 4°","P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
267,  Mara López-Wortzman 2°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
268, Marcela S. Nadal 5°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
269, Pablo M. Gleiser 5°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
270," Romina 
A. Capellino 2°","P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
271, Sergio Lindenbaum 2°. Sebastian Risau 5°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
272, Sabrina Riva 4°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
273, Yimy Amarillo 5°,"P53.-Sleep quality of a sample of the adolescent population in Bariloche, Argentina",Chronobiology,2017
274,Laura Lucia Trebucq 1°,P54.-A novel treatment for glioblastoma: a chronopharmacological approach of the novel drug 1A and Temozolomide,Chronobiology,2017
275, Georgina Cardama 2°,P54.-A novel treatment for glioblastoma: a chronopharmacological approach of the novel drug 1A and Temozolomide,Chronobiology,2017
276, Pablo Lorenzano Menna 2°,P54.-A novel treatment for glioblastoma: a chronopharmacological approach of the novel drug 1A and Temozolomide,Chronobiology,2017
277, Diego Golombek 1°,P54.-A novel treatment for glioblastoma: a chronopharmacological approach of the novel drug 1A and Temozolomide,Chronobiology,2017
278," 
Luciano Marpegan 1°",P54.-A novel treatment for glioblastoma: a chronopharmacological approach of the novel drug 1A and Temozolomide,Chronobiology,2017
279,Lucy Alba-Ferrara 1°5°,P55.-Preliminary Data On Brain Representation Of Emotional Prosody (EP) In Patients With Mesial Temporal Epilepsy (MTLE) Resistant To Medication: Insights On Plasticity,"Cognition, Behavior, and Memory",2017
280, Mercedes Gargiulo 2°,P55.-Preliminary Data On Brain Representation Of Emotional Prosody (EP) In Patients With Mesial Temporal Epilepsy (MTLE) Resistant To Medication: Insights On Plasticity,"Cognition, Behavior, and Memory",2017
281, Juliana Sabatte 2°,P55.-Preliminary Data On Brain Representation Of Emotional Prosody (EP) In Patients With Mesial Temporal Epilepsy (MTLE) Resistant To Medication: Insights On Plasticity,"Cognition, Behavior, and Memory",2017
282, Mariana Bendersky 1°3°,P55.-Preliminary Data On Brain Representation Of Emotional Prosody (EP) In Patients With Mesial Temporal Epilepsy (MTLE) Resistant To Medication: Insights On Plasticity,"Cognition, Behavior, and Memory",2017
283," Angel 
Gargiulo 1°",P55.-Preliminary Data On Brain Representation Of Emotional Prosody (EP) In Patients With Mesial Temporal Epilepsy (MTLE) Resistant To Medication: Insights On Plasticity,"Cognition, Behavior, and Memory",2017
284, Andres Acuña 4°,P55.-Preliminary Data On Brain Representation Of Emotional Prosody (EP) In Patients With Mesial Temporal Epilepsy (MTLE) Resistant To Medication: Insights On Plasticity,"Cognition, Behavior, and Memory",2017
285, Silvia Kochen 1°,P55.-Preliminary Data On Brain Representation Of Emotional Prosody (EP) In Patients With Mesial Temporal Epilepsy (MTLE) Resistant To Medication: Insights On Plasticity,"Cognition, Behavior, and Memory",2017
286,Paulo Augusto N. Alvarez,"P56.-Exploratory activity, habituation and object recognition memory in Drosophila","Cognition, Behavior, and Memory",2017
287, Mario Rafael Pagani ,"P56.-Exploratory activity, habituation and object recognition memory in Drosophila","Cognition, Behavior, and Memory",2017
288,"
Leila Ameneiro",P57.-A combination of novel and familiar information is required to trigger Novel Object Recognition Memory Reconsolidation,"Cognition, Behavior, and Memory",2017
289, Arturo Romano ,P57.-A combination of novel and familiar information is required to trigger Novel Object Recognition Memory Reconsolidation,"Cognition, Behavior, and Memory",2017
290,María de los Milagros Azcueta 1°2°,P58.-Subjective Rather Than Absolute Reward Value Determines Long-Term Memory Formation In Honey Bees,"Cognition, Behavior, and Memory",2017
291, Martín Klappenbach 1°2°,P58.-Subjective Rather Than Absolute Reward Value Determines Long-Term Memory Formation In Honey Bees,"Cognition, Behavior, and Memory",2017
292, Catalina Madarnas 3°,P58.-Subjective Rather Than Absolute Reward Value Determines Long-Term Memory Formation In Honey Bees,"Cognition, Behavior, and Memory",2017
293," Fernando 
Locatelli 1°2° ",P58.-Subjective Rather Than Absolute Reward Value Determines Long-Term Memory Formation In Honey Bees,"Cognition, Behavior, and Memory",2017
294,"
Juan P. Beccaria",P59.-Switching strategies to solve spatial navigation tasks requires striatal cholinergic interneurons,"Cognition, Behavior, and Memory",2017
295, Yanina V. Martos Schott,P59.-Switching strategies to solve spatial navigation tasks requires striatal cholinergic interneurons,"Cognition, Behavior, and Memory",2017
296, M. Gustavo Murer,P59.-Switching strategies to solve spatial navigation tasks requires striatal cholinergic interneurons,"Cognition, Behavior, and Memory",2017
297, Juan E. Belforte ,P59.-Switching strategies to solve spatial navigation tasks requires striatal cholinergic interneurons,"Cognition, Behavior, and Memory",2017
298,"
Estefania Bello 1°",P60.-Dopamine responses to reward and reward-related cues are altered in a mouse that overexpresses dopamine D2 receptors in the striatum,"Cognition, Behavior, and Memory",2017
299, Nuri Jeong 2°,P60.-Dopamine responses to reward and reward-related cues are altered in a mouse that overexpresses dopamine D2 receptors in the striatum,"Cognition, Behavior, and Memory",2017
300, Olivia Goldman 2°,P60.-Dopamine responses to reward and reward-related cues are altered in a mouse that overexpresses dopamine D2 receptors in the striatum,"Cognition, Behavior, and Memory",2017
301, Eleanor Simpson 3°. ,P60.-Dopamine responses to reward and reward-related cues are altered in a mouse that overexpresses dopamine D2 receptors in the striatum,"Cognition, Behavior, and Memory",2017
