,autor,tema,titulo,year
1359," 
Florencia Gonzalez Fleitas",Sensory Systems ,"P275.-ENRICHED ENVIRONMENT EXPOSURE PROTECTS THE VISUAL PATHWAY 
ALTERATIONS INDUCED BY EXPERIMENTAL GLAUCOMA IN ADULT RATS ",2018
1360, Julian Devouassoux,Sensory Systems ,"P275.-ENRICHED ENVIRONMENT EXPOSURE PROTECTS THE VISUAL PATHWAY 
ALTERATIONS INDUCED BY EXPERIMENTAL GLAUCOMA IN ADULT RATS ",2018
1361, Marcos L Aranda,Sensory Systems ,"P275.-ENRICHED ENVIRONMENT EXPOSURE PROTECTS THE VISUAL PATHWAY 
ALTERATIONS INDUCED BY EXPERIMENTAL GLAUCOMA IN ADULT RATS ",2018
1362, Hernan Dieguez,Sensory Systems ,"P275.-ENRICHED ENVIRONMENT EXPOSURE PROTECTS THE VISUAL PATHWAY 
ALTERATIONS INDUCED BY EXPERIMENTAL GLAUCOMA IN ADULT RATS ",2018
1363, Damian Dorfman,Sensory Systems ,"P275.-ENRICHED ENVIRONMENT EXPOSURE PROTECTS THE VISUAL PATHWAY 
ALTERATIONS INDUCED BY EXPERIMENTAL GLAUCOMA IN ADULT RATS ",2018
1364," 
Ruth Rosenstein  ",Sensory Systems ,"P275.-ENRICHED ENVIRONMENT EXPOSURE PROTECTS THE VISUAL PATHWAY 
ALTERATIONS INDUCED BY EXPERIMENTAL GLAUCOMA IN ADULT RATS ",2018
1365," 
Maximiliano Rios",Sensory Systems ,"P276.-The novel opsins Opn3 and 5 Non-visual opsins are expressed in cells of 
the inner vertebrate retina. Potential roles and physiological implications ",2018
1366, Natalia Marchese,Sensory Systems ,"P276.-The novel opsins Opn3 and 5 Non-visual opsins are expressed in cells of 
the inner vertebrate retina. Potential roles and physiological implications ",2018
1367, Agustin Serradel,Sensory Systems ,"P276.-The novel opsins Opn3 and 5 Non-visual opsins are expressed in cells of 
the inner vertebrate retina. Potential roles and physiological implications ",2018
1368, Mario GUIDO ,Sensory Systems ,"P276.-The novel opsins Opn3 and 5 Non-visual opsins are expressed in cells of 
the inner vertebrate retina. Potential roles and physiological implications ",2018
1369," 
Nicolás Martorell1",Sensory Systems ," 
P277.-When senses work together: how multimodal integration helps you stay 
alive ",2018
1370,2,Sensory Systems ," 
P277.-When senses work together: how multimodal integration helps you stay 
alive ",2018
1371, Violeta Medan1,Sensory Systems ," 
P277.-When senses work together: how multimodal integration helps you stay 
alive ",2018
1372,2 ,Sensory Systems ," 
P277.-When senses work together: how multimodal integration helps you stay 
alive ",2018
1373," 
Constanza Agata Miguel1",Sensory Systems ,"P278.-Oxaliplatin-induced peripheral neuropathy and neuropathic pain: 
mechanisms involved and possible therapeutic strategies ",2018
1374, Maria Celeste Raggio1,Sensory Systems ,"P278.-Oxaliplatin-induced peripheral neuropathy and neuropathic pain: 
mechanisms involved and possible therapeutic strategies ",2018
1375, Susana Laura Gonzalez2,Sensory Systems ,"P278.-Oxaliplatin-induced peripheral neuropathy and neuropathic pain: 
mechanisms involved and possible therapeutic strategies ",2018
1376, Maria Florencia Coronel3 ,Sensory Systems ,"P278.-Oxaliplatin-induced peripheral neuropathy and neuropathic pain: 
mechanisms involved and possible therapeutic strategies ",2018
1377," 
Sebastián A. Romano",Sensory Systems ,"P279.-Neural circuits supporting context and experience dependent 
representation of olfactory information ",2018
1378, Noel Federman,Sensory Systems ,"P279.-Neural circuits supporting context and experience dependent 
representation of olfactory information ",2018
1379, Macarena Amigo Durán,Sensory Systems ,"P279.-Neural circuits supporting context and experience dependent 
representation of olfactory information ",2018
1380, Antonia Marin Burgin ,Sensory Systems ,"P279.-Neural circuits supporting context and experience dependent 
representation of olfactory information ",2018
1381," 
Lucca Salomón",Sensory Systems ," 
P280.-On and off visual channels adapt differentially to object motion allowing 
arthropods to recognize novel stimuli occurrence ",2018
1382, Verónica Pérez-Schuster,Sensory Systems ," 
P280.-On and off visual channels adapt differentially to object motion allowing 
arthropods to recognize novel stimuli occurrence ",2018
1383, Gabriela Hermitte,Sensory Systems ," 
P280.-On and off visual channels adapt differentially to object motion allowing 
arthropods to recognize novel stimuli occurrence ",2018
1384, Mercedes Bengochea,Sensory Systems ," 
P280.-On and off visual channels adapt differentially to object motion allowing 
arthropods to recognize novel stimuli occurrence ",2018
1385," Martín Berón de 
Astrada ",Sensory Systems ," 
P280.-On and off visual channels adapt differentially to object motion allowing 
arthropods to recognize novel stimuli occurrence ",2018
1386," 
Manuel Soliño1",Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1387, Manuel Rey-Funes1,Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1388, Ester López1,Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1389, Mariana Bareiro1,Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1390, Rafael Pelaez2,Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1391, Larrayoz Ignacio2,Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1392," 
Alfredo Martínez2",Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1393, Elena Girardi1,Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1394, López-Costa Juan José1 ,Sensory Systems ," 
P281.-EFFECT OF CB1 RECEPTOR MODULATION ON GENE EXPRESION IN LIGHT 
INDUCED RETINAL DEGENERATION ",2018
1395," 
Samuel Alberto Alfonso Bueno",Synaptic Transmission and Excitability ,P282.-Effect of Rab11a in the regulated exocytosis of mouse chromaffin cells ,2018
1396, Fernando Diego Marengo,Synaptic Transmission and Excitability ,P282.-Effect of Rab11a in the regulated exocytosis of mouse chromaffin cells ,2018
1397, Luciana Inés Gallo ,Synaptic Transmission and Excitability ,P282.-Effect of Rab11a in the regulated exocytosis of mouse chromaffin cells ,2018
1398," 
Emilce Artur de la Villarmois",Synaptic Transmission and Excitability ," 
P283.-Cognitive interference and NOS-1 inhibition are therapeutic strategies to 
prevent benzodiazepine withdrawal expression ",2018
1399, Maria Florencia Constantin,Synaptic Transmission and Excitability ," 
P283.-Cognitive interference and NOS-1 inhibition are therapeutic strategies to 
prevent benzodiazepine withdrawal expression ",2018
1400, Mariela F. Perez ,Synaptic Transmission and Excitability ," 
P283.-Cognitive interference and NOS-1 inhibition are therapeutic strategies to 
prevent benzodiazepine withdrawal expression ",2018
1401," 
Juliette López Hanotte",Synaptic Transmission and Excitability ,"P284.-Mesenchymal stem cells therapy reversed hippocampal atrophy, 
neurodegeneration, loss of presynaptic proteins, reactive microglia and 
behavior impaired in a rat model of sporadic Alzheimer’s disease ",2018
1402, María Florencia Zappa Villar,Synaptic Transmission and Excitability ,"P284.-Mesenchymal stem cells therapy reversed hippocampal atrophy, 
neurodegeneration, loss of presynaptic proteins, reactive microglia and 
behavior impaired in a rat model of sporadic Alzheimer’s disease ",2018
1403, Joaquín Pardo,Synaptic Transmission and Excitability ,"P284.-Mesenchymal stem cells therapy reversed hippocampal atrophy, 
neurodegeneration, loss of presynaptic proteins, reactive microglia and 
behavior impaired in a rat model of sporadic Alzheimer’s disease ",2018
1404, Paula Cecilia Reggiani  ,Synaptic Transmission and Excitability ,"P284.-Mesenchymal stem cells therapy reversed hippocampal atrophy, 
neurodegeneration, loss of presynaptic proteins, reactive microglia and 
behavior impaired in a rat model of sporadic Alzheimer’s disease ",2018
1405," 
Rodrigo Manuel Paz",Synaptic Transmission and Excitability ,"P285.-D1/D5 dopamine receptor stimulation increases striatal cholinergic 
interneuron excitability in a mouse model of L-DOPA-induced dyskinesia ",2018
1406, Cecilia Tubert,Synaptic Transmission and Excitability ,"P285.-D1/D5 dopamine receptor stimulation increases striatal cholinergic 
interneuron excitability in a mouse model of L-DOPA-induced dyskinesia ",2018
1407, Agostina Stahl,Synaptic Transmission and Excitability ,"P285.-D1/D5 dopamine receptor stimulation increases striatal cholinergic 
interneuron excitability in a mouse model of L-DOPA-induced dyskinesia ",2018
1408, Bárbara Giugovaz Tropper,Synaptic Transmission and Excitability ,"P285.-D1/D5 dopamine receptor stimulation increases striatal cholinergic 
interneuron excitability in a mouse model of L-DOPA-induced dyskinesia ",2018
1409, Gustavo Murer,Synaptic Transmission and Excitability ,"P285.-D1/D5 dopamine receptor stimulation increases striatal cholinergic 
interneuron excitability in a mouse model of L-DOPA-induced dyskinesia ",2018
1410," Lorena 
Rela ",Synaptic Transmission and Excitability ,"P285.-D1/D5 dopamine receptor stimulation increases striatal cholinergic 
interneuron excitability in a mouse model of L-DOPA-induced dyskinesia ",2018
1411," 
Paula Patricia Perissinotti1",Synaptic Transmission and Excitability ,"P286.-Altered pacemarker currents in thalamic ventrobasal neurons of leptin-
deficient mice ",2018
1412, Cesleste Rivero Echeto1,Synaptic Transmission and Excitability ,"P286.-Altered pacemarker currents in thalamic ventrobasal neurons of leptin-
deficient mice ",2018
1413, Bisagno Veronica2,Synaptic Transmission and Excitability ,"P286.-Altered pacemarker currents in thalamic ventrobasal neurons of leptin-
deficient mice ",2018
1414, Edgar Garcia-Rill3,Synaptic Transmission and Excitability ,"P286.-Altered pacemarker currents in thalamic ventrobasal neurons of leptin-
deficient mice ",2018
1415," Francisco 
Urbano1 ",Synaptic Transmission and Excitability ,"P286.-Altered pacemarker currents in thalamic ventrobasal neurons of leptin-
deficient mice ",2018
0,Luis E. Boero1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition ,2019
1, Marcelo J. Moglie1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition ,2019
2, Sofia L. Gallino1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition ,2019
3," Agustín E. Carpaneto 
Freixas1",Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition ,2019
4, Tais Castagnola1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition ,2019
5, Mariano N. Di Guilmi1 ,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition ,2019
6,Joana Asensio1,Brain Awareness Week Activities ,P3.-Musical learning ,2019
7, Andrea Barauna1,Brain Awareness Week Activities ,P3.-Musical learning ,2019
8, Martín Chrabalowski2,Brain Awareness Week Activities ,P3.-Musical learning ,2019
9, Cristina Croce1,Brain Awareness Week Activities ,P3.-Musical learning ,2019
10," 
Estefanía Farias Altamirano1",Brain Awareness Week Activities ,P3.-Musical learning ,2019
11, Leandro Freites1,Brain Awareness Week Activities ,P3.-Musical learning ,2019
12, Paula López1,Brain Awareness Week Activities ,P3.-Musical learning ,2019
13," Esperanza Mata 
Martínez1",Brain Awareness Week Activities ,P3.-Musical learning ,2019
14, Andrea Páez2,Brain Awareness Week Activities ,P3.-Musical learning ,2019
15, Elena Vásquez1 ,Brain Awareness Week Activities ,P3.-Musical learning ,2019
16,Macarena Lorena Herrera2,Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life ",2019
17, Eugenia Falomir Lockhart1,Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life ",2019
18," Franco Juan-Cruz 
Dolcetti1",Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life ",2019
19, María José Bellini1 ,Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life ",2019
20,Maria Cecilia Perondi2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies ",2019
21, Macarena Lorena Herrera2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies ",2019
22, Andrea Otamendi2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies ",2019
23," Alberto 
Leandro Oliveros2",Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies ",2019
24, Maximiliano Nicolas Rios1,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies ",2019
25, Osvaldo Martin Basmadjian2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies ",2019
26," 
Natalia Andrea Marchese1 ",Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies ",2019
27,Franco Mir1,Brain Awareness Week Activities ,"P6.-BAW 209 – FCEFyN, UNC ",2019
28, M. Angélica Rivarola1,Brain Awareness Week Activities ,"P6.-BAW 209 – FCEFyN, UNC ",2019
29, Laura Vivas1 ,Brain Awareness Week Activities ,"P6.-BAW 209 – FCEFyN, UNC ",2019
30,D. Lorena Franco1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche ,2019
31, Laura Mazzitelli - Fuentes1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche ,2019
32, Sabrina Riva1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche ,2019
33," Fernanda R. 
Roman1",Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche ,2019
34, Ángela I. Tissone1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche ,2019
35, Inés Samengo1 ,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche ,2019
36,María Florencia Rossetti1,Brain Awareness Week Activities ,P8.-Let´s take care about our brain ,2019
37, Guillermina Canesini1,Brain Awareness Week Activities ,P8.-Let´s take care about our brain ,2019
38, Rocio Schumacher1,Brain Awareness Week Activities ,P8.-Let´s take care about our brain ,2019
39," Nicólas 
Fabre1",Brain Awareness Week Activities ,P8.-Let´s take care about our brain ,2019
40, Jorge Guillermo Ramos1 ,Brain Awareness Week Activities ,P8.-Let´s take care about our brain ,2019
41,María Constanza Paz2,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
42, Nahir Guadalupe Gazal1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
43, Paula Virginia Subirada2,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
44," 
Constanza Milena Jandar Paz1",Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
45, Alberto Leandro Oliveros3,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
46, Andrea Guzman3,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
47," 
Maria Victoria Vaglienti2",Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
48, Sebastian Miranda1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
49, Asier Angulo1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
50, Génesis D'aloisio1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
51," 
Laura Gastaldi5",Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
52, Victoria Pisano4,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
53, Cecilia Sánchez2,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
54, Nicolas Unsain1 ,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” ",2019
55,Paula Sarchi1,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia ",2019
56, María Belén Cieri1,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia ",2019
57, Alejandro Villarreal1,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia ",2019
58, Verónica Murta1 ,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia ",2019
59,Lucia S. Acosta1,Cellular and Molecular Neurobiology ,"P11.-Changes in the messenger RNA of the nicotinic receptor 
subunits in the aging mouse hippocampus ",2019
60, Alejandro O. Sodero1 ,Cellular and Molecular Neurobiology ,"P11.-Changes in the messenger RNA of the nicotinic receptor 
subunits in the aging mouse hippocampus ",2019
61,Lucas Acosta1,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism ,2019
62, Analía Karadayian2,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism ,2019
63, Luis Rodriguez1,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism ,2019
64, Silvia Lores Arnaiz2,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism ,2019
65," Juanita 
Bustamante1 ",Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism ,2019
66,Felipe I. Aguayo1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
67, Wladimir A. Corrales1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
68, Gabriela Díaz-Véliz2,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
69, Juan Pablo Silva1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
70," 
Felipe A. Olave1",Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
71, Luciano Román-Albasini1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
72, Jhon A. Cidlowski3,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
73, Jenny L. Fiedler1 ,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship ",2019
74,Julieta Paola Aguggia1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
75, María Paula Cornejo1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
76, Franco Barrile1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
77, Mirta Reynaldo1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
78," 
Guadalupe García Romero1",Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
79, Daniela Cassano1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
80, Pablo Nicolás De Francesco1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
81," 
Gimena Fernandez1",Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
82, Maia Uriarte Donati1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
83, Spring Valdivia1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
84, María José Tolosa1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
85," 
Mario Perello1 ",Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus ",2019
86,Carolina D. Alberca1,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment ",2019
87, Ligia A. Papale3,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment ",2019
88, Andy Madrid4,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment ",2019
89, Reid S. Alisch3,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment ",2019
90," Eduardo T. 
Cánepa2",Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment ",2019
91, Mariela Chertoff2 ,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment ",2019
92,Leandro G. Allende1,Cellular and Molecular Neurobiology ,"P16.-Cholesterol recycling is altered during aging in nervous 
system cells ",2019
93, María Florencia Harman1,Cellular and Molecular Neurobiology ,"P16.-Cholesterol recycling is altered during aging in nervous 
system cells ",2019
94, Mauricio G. Martin1 ,Cellular and Molecular Neurobiology ,"P16.-Cholesterol recycling is altered during aging in nervous 
system cells ",2019
95,María Soledad Anesetti Nelli1,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
96, Hernán Hauche1,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
97, María Alejandra Bernardi2,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
98," Pedro 
Lorenzo Ballestero1",Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
99, Mariana Ferrario3,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
100, Marcela Schenk3,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
101, Sandra Guerrero3,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
102," 
Melina Paula Bordone1",Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
103, Juan Esteban Ferrario1 ,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. ",2019
104,Cristian Roman Bacaglio1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
105, Andres Berardo1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
106, Barbara beatriz Baez1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
107," Ana Laura 
Vivinetto1",Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
108, Mara Soledad Matalloni1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
109, Clara Nicole Castañares1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
110, Khazim Sheikh2,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
111," 
Pablo H.H. Lopez1 ",Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies ",2019
112,Bárbara Beatriz Báez1,Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration ",2019
113, Cristian Bacaglio1,Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration ",2019
114, Ronald Schnaar1,Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration ",2019
115," Pablo Héctor Horacio 
Lopez1 ",Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration ",2019
116,Raquel Becerra1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development ",2019
117, Sebastián Giusti1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development ",2019
118, Ivana Linenberg1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development ",2019
119, Jerónimo Lukin1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development ",2019
