,autor,tema,poster
377, Carlos Wilson3,Cellular and Molecular Neurobiology ,"P77.-SEX DIFFERENCES IN GABA-MEDIATED CALCIUM INFLUX IN 
HYPOTHALAMIC NEURONS "
378, María Julia Cambiasso4,Cellular and Molecular Neurobiology ,"P77.-SEX DIFFERENCES IN GABA-MEDIATED CALCIUM INFLUX IN 
HYPOTHALAMIC NEURONS "
379,5  ,Cellular and Molecular Neurobiology ,"P77.-SEX DIFFERENCES IN GABA-MEDIATED CALCIUM INFLUX IN 
HYPOTHALAMIC NEURONS "
380," 
Yamila Azul Molinari",Cellular and Molecular Neurobiology ,P78.-The cuprizone model under neurosphere´s scrutiny 
381, Paula Franco,Cellular and Molecular Neurobiology ,P78.-The cuprizone model under neurosphere´s scrutiny 
382, Lucas Silvestroff ,Cellular and Molecular Neurobiology ,P78.-The cuprizone model under neurosphere´s scrutiny 
383," 
Matías Nicolás Schroeder",Cellular and Molecular Neurobiology ,"P79.-Protein synthesis regulation during the behavioral tagging process in 
memory reconsolidation "
384, Camila Fullio,Cellular and Molecular Neurobiology ,"P79.-Protein synthesis regulation during the behavioral tagging process in 
memory reconsolidation "
385, Martin Grinspun,Cellular and Molecular Neurobiology ,"P79.-Protein synthesis regulation during the behavioral tagging process in 
memory reconsolidation "
386, Diego Moncada ,Cellular and Molecular Neurobiology ,"P79.-Protein synthesis regulation during the behavioral tagging process in 
memory reconsolidation "
387," 
Luis Pedro Morera",Cellular and Molecular Neurobiology ,P80.-Postgraduate Students Stress 
388, Micaela Jairedin Lara,Cellular and Molecular Neurobiology ,P80.-Postgraduate Students Stress 
389, Pablo Ezequiel Flores Kanter,Cellular and Molecular Neurobiology ,P80.-Postgraduate Students Stress 
390, Leonardo Adrián Medrano ,Cellular and Molecular Neurobiology ,P80.-Postgraduate Students Stress 
391," 
Emilio Román Mustafá",Cellular and Molecular Neurobiology ," 
P81.-Ghrelin-evoked GHSR activity impairs low voltage activated Ca2+ channel 
(CaV3) currents in hypothalamic neurons "
392, Santiago Córdisco González,Cellular and Molecular Neurobiology ," 
P81.-Ghrelin-evoked GHSR activity impairs low voltage activated Ca2+ channel 
(CaV3) currents in hypothalamic neurons "
393, Silvia Susana Rodríguez,Cellular and Molecular Neurobiology ," 
P81.-Ghrelin-evoked GHSR activity impairs low voltage activated Ca2+ channel 
(CaV3) currents in hypothalamic neurons "
394, Jesica Raingo ,Cellular and Molecular Neurobiology ," 
P81.-Ghrelin-evoked GHSR activity impairs low voltage activated Ca2+ channel 
(CaV3) currents in hypothalamic neurons "
395," 
Lorena Neila",Cellular and Molecular Neurobiology ,"P82.-Wnt7b is involved in axon differentiation and elongation in hippocampal 
neurons "
396, Silvana Rosso ,Cellular and Molecular Neurobiology ,"P82.-Wnt7b is involved in axon differentiation and elongation in hippocampal 
neurons "
397," 
Gabriela Verónica Nieva",Cellular and Molecular Neurobiology ," 
P83.-Regional microgliosis in transgenic mice expressing a mislocalized form of 
TDP-43:  implications for neurodegenerative disease pathogenesis "
398, Pablo R Silva,Cellular and Molecular Neurobiology ," 
P83.-Regional microgliosis in transgenic mice expressing a mislocalized form of 
TDP-43:  implications for neurodegenerative disease pathogenesis "
399, Lionel Muller Igaz ,Cellular and Molecular Neurobiology ," 
P83.-Regional microgliosis in transgenic mice expressing a mislocalized form of 
TDP-43:  implications for neurodegenerative disease pathogenesis "
400,Nishida,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
401, F1,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
402,3,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
403,5; Zanuzzi,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
404, C.N.1,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
405,2,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
406,3; Sisti,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
407, M.S.1,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
408,3,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
409,5; Falomir Lockhart,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
410, E.3,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
411,4,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
412,6; Camiña,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
413, A.E.5; Bellini,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
414, M.J.3,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
415,4,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
416,"6; 
Portiansky",Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
417, E.L.1,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
418,3,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
419,5  ,Cellular and Molecular Neurobiology ,"P84.-INTRACISTERNAL DELIVERY OF IGF-1 MEDIATED BY A RECOMBINANT 
ADENOVECTOR IS NEUROPROTECTIVE FOR THE RAT SPINAL CORD 
EXCITOTOXIC DAMAGE INDUCED BY KA "
420," 
Cindy Lorena Olmos Carreño1",Cellular and Molecular Neurobiology ,"P85.-CLONAL ANALYSIS OF STEM/PROGENITOR CELLS IN CHICKEN NEURAL 
RETINA "
421, Maria Figueres Oñate2,Cellular and Molecular Neurobiology ,"P85.-CLONAL ANALYSIS OF STEM/PROGENITOR CELLS IN CHICKEN NEURAL 
RETINA "
422, Mario Sanchez2,Cellular and Molecular Neurobiology ,"P85.-CLONAL ANALYSIS OF STEM/PROGENITOR CELLS IN CHICKEN NEURAL 
RETINA "
423, Gabriel Scicolone1,Cellular and Molecular Neurobiology ,"P85.-CLONAL ANALYSIS OF STEM/PROGENITOR CELLS IN CHICKEN NEURAL 
RETINA "
424," Laura López 
Mascaraque2 ",Cellular and Molecular Neurobiology ,"P85.-CLONAL ANALYSIS OF STEM/PROGENITOR CELLS IN CHICKEN NEURAL 
RETINA "
425," 
Daniela Paula Orquera1",Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
426, Maria BelenTavella1,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
427, Flavio Silva Junqueira de Souza1,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
428,2,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
429,3,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
430, Sofia Nasif1,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
431," Malcom 
Low4",Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
432, Marcelo Rubinstein1,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
433,2,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
434,4   ,Cellular and Molecular Neurobiology ,"P86.-NKX2.1 controls the differentiation of hypothalamic melanocortin 
neurons and regulates arcuate Pomc expression and body weight "
435," 
Milagros Ovejero1",Cellular and Molecular Neurobiology ,"P87.-Intracellular trafficking defects induced by α-synuclein as a pathogenic 
mechanism for Parkinson’s disease "
436, Vaishali Sharma2,Cellular and Molecular Neurobiology ,"P87.-Intracellular trafficking defects induced by α-synuclein as a pathogenic 
mechanism for Parkinson’s disease "
437, Mariano Bisbal1,Cellular and Molecular Neurobiology ,"P87.-Intracellular trafficking defects induced by α-synuclein as a pathogenic 
mechanism for Parkinson’s disease "
438, Thomas M. Jovin2,Cellular and Molecular Neurobiology ,"P87.-Intracellular trafficking defects induced by α-synuclein as a pathogenic 
mechanism for Parkinson’s disease "
439, Donna J. Arndt-Jovin2,Cellular and Molecular Neurobiology ,"P87.-Intracellular trafficking defects induced by α-synuclein as a pathogenic 
mechanism for Parkinson’s disease "
440," Alfredo 
Cáceres1",Cellular and Molecular Neurobiology ,"P87.-Intracellular trafficking defects induced by α-synuclein as a pathogenic 
mechanism for Parkinson’s disease "
441, Agustin Anastasia1 ,Cellular and Molecular Neurobiology ,"P87.-Intracellular trafficking defects induced by α-synuclein as a pathogenic 
mechanism for Parkinson’s disease "
442," 
Yael Macarena Peralta Cuasolo1",Cellular and Molecular Neurobiology ," 
P88.-The physiological role of the GTPase Rab21 in neuronal migration and the 
development of the cerebral cortex "
443, Sebastián Dupraz2,Cellular and Molecular Neurobiology ," 
P88.-The physiological role of the GTPase Rab21 in neuronal migration and the 
development of the cerebral cortex "
444, Diego Grassi1,Cellular and Molecular Neurobiology ," 
P88.-The physiological role of the GTPase Rab21 in neuronal migration and the 
development of the cerebral cortex "
445, Santiago Quiroga1,Cellular and Molecular Neurobiology ," 
P88.-The physiological role of the GTPase Rab21 in neuronal migration and the 
development of the cerebral cortex "
446, Lucas Javier Sosa1 ,Cellular and Molecular Neurobiology ," 
P88.-The physiological role of the GTPase Rab21 in neuronal migration and the 
development of the cerebral cortex "
447," 
Leticia Peris",Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
448, Jean Marc Soleilhac,Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
449, José Martinez-Hernandez,Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
450, Giulia Falivelli,Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
451, Christophe Bosc,Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
452," Charlotte 
Corrao",Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
453, Jacques Brocard,Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
454, Marie Jose Moutin,Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
455, Annie Andrieux ,Cellular and Molecular Neurobiology ," 
P89.-Posttranslational modifications of α-tubulin in Alzheimer's disease: focus 
on tyrosination/detyrosination cycle "
456," 
Mayra Perotti",Cellular and Molecular Neurobiology ,"P90.-ROLES OF KIF5C ON NEURONAL POLARIZATION AND NEOCORTICAL 
FORMATION "
457, Mariana Oksdath,Cellular and Molecular Neurobiology ,"P90.-ROLES OF KIF5C ON NEURONAL POLARIZATION AND NEOCORTICAL 
FORMATION "
458, Santiago Quiroga ,Cellular and Molecular Neurobiology ,"P90.-ROLES OF KIF5C ON NEURONAL POLARIZATION AND NEOCORTICAL 
FORMATION "
459, ,Cellular and Molecular Neurobiology ,"P91.-Proteolipid Protein as a marker of olfactory bulb granule cell progenitors 
during adult neurogenesis "
460," 
Federico Prestia1",Cellular and Molecular Neurobiology ,"P92.-Platelets bioenergetics screening reflects the impact of brain Aβ plaque 
accumulation in a rat model of Alzheimer "
461, Pablo Galeano1,Cellular and Molecular Neurobiology ,"P92.-Platelets bioenergetics screening reflects the impact of brain Aβ plaque 
accumulation in a rat model of Alzheimer "
462, Pamela. V Martino Adami1,Cellular and Molecular Neurobiology ,"P92.-Platelets bioenergetics screening reflects the impact of brain Aβ plaque 
accumulation in a rat model of Alzheimer "
463, Sonia Do Carmo2,Cellular and Molecular Neurobiology ,"P92.-Platelets bioenergetics screening reflects the impact of brain Aβ plaque 
accumulation in a rat model of Alzheimer "
464, Eduardo M. Castaño1,Cellular and Molecular Neurobiology ,"P92.-Platelets bioenergetics screening reflects the impact of brain Aβ plaque 
accumulation in a rat model of Alzheimer "
465," 
Claudio Cuello2",Cellular and Molecular Neurobiology ,"P92.-Platelets bioenergetics screening reflects the impact of brain Aβ plaque 
accumulation in a rat model of Alzheimer "
466, Laura Morelli1 ,Cellular and Molecular Neurobiology ,"P92.-Platelets bioenergetics screening reflects the impact of brain Aβ plaque 
accumulation in a rat model of Alzheimer "
467," 
Luciana Mercedes Pujol Lereis1",Cellular and Molecular Neurobiology ,"P93.-Regulation of cellular sphingolipid metabolism by lipid-protein adducts 
and genetic variants associated with age-related macular degeneration "
468,2,Cellular and Molecular Neurobiology ,"P93.-Regulation of cellular sphingolipid metabolism by lipid-protein adducts 
and genetic variants associated with age-related macular degeneration "
469, Gerhard Liebisch3,Cellular and Molecular Neurobiology ,"P93.-Regulation of cellular sphingolipid metabolism by lipid-protein adducts 
and genetic variants associated with age-related macular degeneration "
470, Yuchen Lin4,Cellular and Molecular Neurobiology ,"P93.-Regulation of cellular sphingolipid metabolism by lipid-protein adducts 
and genetic variants associated with age-related macular degeneration "
471, Peter F. Zipfel4,Cellular and Molecular Neurobiology ,"P93.-Regulation of cellular sphingolipid metabolism by lipid-protein adducts 
and genetic variants associated with age-related macular degeneration "
472, Christine Skerka4,Cellular and Molecular Neurobiology ,"P93.-Regulation of cellular sphingolipid metabolism by lipid-protein adducts 
and genetic variants associated with age-related macular degeneration "
473," 
Bernhard H. F. Weber1 ",Cellular and Molecular Neurobiology ,"P93.-Regulation of cellular sphingolipid metabolism by lipid-protein adducts 
and genetic variants associated with age-related macular degeneration "
474, ,Cellular and Molecular Neurobiology ,"P94.-Light-regulation of ArylalkylamineN-Acyltransferase (AANAT) and a new 
potential rol in vertebrate retina "
475," 
Antonella Soledad Rios1",Cellular and Molecular Neurobiology ,P95.-Pea3 transcription factors as mediators of nociception 
476, Ana Paula De Vincenti1,Cellular and Molecular Neurobiology ,P95.-Pea3 transcription factors as mediators of nociception 
477, Pablo Brumovsky2,Cellular and Molecular Neurobiology ,P95.-Pea3 transcription factors as mediators of nociception 
478, Jorge Aquino3,Cellular and Molecular Neurobiology ,P95.-Pea3 transcription factors as mediators of nociception 
479, Gustavo Paratcha1,Cellular and Molecular Neurobiology ,P95.-Pea3 transcription factors as mediators of nociception 
480," 
Fernanda Ledda1 ",Cellular and Molecular Neurobiology ,P95.-Pea3 transcription factors as mediators of nociception 
481, ,Cellular and Molecular Neurobiology ,"P96.-HDAC3 negatively modulates long-term memory formation at two 
different levels: histone deacetylation and NF-kB inactivation "
482," 
Débora Rodriguez",Cellular and Molecular Neurobiology ,"P97.-Participation of nuclear receptors PPARγ and RXR in the remyelination 
process "
483, Laura Ivonne Gómez Pinto,Cellular and Molecular Neurobiology ,"P97.-Participation of nuclear receptors PPARγ and RXR in the remyelination 
process "
484, Patricia Mathieu,Cellular and Molecular Neurobiology ,"P97.-Participation of nuclear receptors PPARγ and RXR in the remyelination 
process "
485, Ana M. Adamo ,Cellular and Molecular Neurobiology ,"P97.-Participation of nuclear receptors PPARγ and RXR in the remyelination 
process "
486," 
Lucía Rodríguez Berdini1",Cellular and Molecular Neurobiology ,"P98.-Role of cytoplasmic c-Fos as an activator of lipid synthesis during 
neuronal differentiation "
487, Gabriel Orlando Ferrero2,Cellular and Molecular Neurobiology ,"P98.-Role of cytoplasmic c-Fos as an activator of lipid synthesis during 
neuronal differentiation "
488, Andrés Mauricio Cardozo Gizzi1,Cellular and Molecular Neurobiology ,"P98.-Role of cytoplasmic c-Fos as an activator of lipid synthesis during 
neuronal differentiation "
489," Florentyna Bustos 
Plonka1",Cellular and Molecular Neurobiology ,"P98.-Role of cytoplasmic c-Fos as an activator of lipid synthesis during 
neuronal differentiation "
490, Santiago Quiroga1,Cellular and Molecular Neurobiology ,"P98.-Role of cytoplasmic c-Fos as an activator of lipid synthesis during 
neuronal differentiation "
491, Beatriz Leonor Caputto1 ,Cellular and Molecular Neurobiology ,"P98.-Role of cytoplasmic c-Fos as an activator of lipid synthesis during 
neuronal differentiation "
492," 
Nicolás Matías Rosas",Cellular and Molecular Neurobiology ," 
P99.-Analysis of the key functional residues within the C-terminal cytoplasmic 
tail  of  Gpm6a  critical  for  filopodium  outgrowth "
493, Alberto Carlos Frasch,Cellular and Molecular Neurobiology ," 
P99.-Analysis of the key functional residues within the C-terminal cytoplasmic 
tail  of  Gpm6a  critical  for  filopodium  outgrowth "
494, Beata Fuchsova ,Cellular and Molecular Neurobiology ," 
P99.-Analysis of the key functional residues within the C-terminal cytoplasmic 
tail  of  Gpm6a  critical  for  filopodium  outgrowth "
495," 
Alicia Rossi"," 
P100.-Experimental febrile seizures in young postnatal rats have a long-lasting 
effect in epileptic threshold and astroglial morphology. ",Cellular and Molecular Neurobiology 
496, Miriana Mariussi," 
P100.-Experimental febrile seizures in young postnatal rats have a long-lasting 
effect in epileptic threshold and astroglial morphology. ",Cellular and Molecular Neurobiology 
497, Paula Sarchi," 
P100.-Experimental febrile seizures in young postnatal rats have a long-lasting 
effect in epileptic threshold and astroglial morphology. ",Cellular and Molecular Neurobiology 
498, Alejandro Villarreal," 
P100.-Experimental febrile seizures in young postnatal rats have a long-lasting 
effect in epileptic threshold and astroglial morphology. ",Cellular and Molecular Neurobiology 
499, Alberto Javier Ramos ," 
P100.-Experimental febrile seizures in young postnatal rats have a long-lasting 
effect in epileptic threshold and astroglial morphology. ",Cellular and Molecular Neurobiology 
500," 
Facundo H. Prado Spalm1",Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
501,2,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
502, Marcela S. Vera1,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
503,2,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
504, Marcos J. Dibo1,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
505,2,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
506, M. Victoria Simón1,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
507,2,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
508, Luis E. Politi1,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
509,2,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
510," 
Nora Patricia Rotstein1",Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
511,2 ,Cellular and Molecular Neurobiology ," 
P101.-Ceramide induces the death of retina photoreceptors through activation 
of parthanatos "
512," 
Victoria Rozes1",Cellular and Molecular Neurobiology ,"P102.-SARA participation as a negative regulator of the TGFβ signaling 
pathway in neuronal development "
513, 2,Cellular and Molecular Neurobiology ,"P102.-SARA participation as a negative regulator of the TGFβ signaling 
pathway in neuronal development "
514, Daniel Britos2,Cellular and Molecular Neurobiology ,"P102.-SARA participation as a negative regulator of the TGFβ signaling 
pathway in neuronal development "
515, Sebastian Siri1,Cellular and Molecular Neurobiology ,"P102.-SARA participation as a negative regulator of the TGFβ signaling 
pathway in neuronal development "
516, Cecilia Conde1 ,Cellular and Molecular Neurobiology ,"P102.-SARA participation as a negative regulator of the TGFβ signaling 
pathway in neuronal development "
517," 
Lucia Salatino1",Cellular and Molecular Neurobiology ,"P103.-ROLE OF ELECTRICAL ACTIVITY IN THE ASSEMBLY OF SENSORY CIRCUITS 
DURING THE DEVELOPMENT OF THE NERVOUS SYSTEM "
518, Ana Belen Elgoyhen2,Cellular and Molecular Neurobiology ,"P103.-ROLE OF ELECTRICAL ACTIVITY IN THE ASSEMBLY OF SENSORY CIRCUITS 
DURING THE DEVELOPMENT OF THE NERVOUS SYSTEM "
519, Paola Plazas1 ,Cellular and Molecular Neurobiology ,"P103.-ROLE OF ELECTRICAL ACTIVITY IN THE ASSEMBLY OF SENSORY CIRCUITS 
DURING THE DEVELOPMENT OF THE NERVOUS SYSTEM "
520," 
Libia Catalina Castellanos",Cellular and Molecular Neurobiology ,"P104.-Trafficking of ASIC1a channels between cellular compartments: role in 
neuroinflammation "
521, Osvaldo Daniel Uchitel,Cellular and Molecular Neurobiology ,"P104.-Trafficking of ASIC1a channels between cellular compartments: role in 
neuroinflammation "
522, Carina Weissmann ,Cellular and Molecular Neurobiology ,"P104.-Trafficking of ASIC1a channels between cellular compartments: role in 
neuroinflammation "
523," 
Natalia Paola Alza1",Cellular and Molecular Neurobiology ,"P105.-α-synuclein overexpression triggers a lipid metabolic switch: lipid 
droplets as an early marker of neurodegeneration "
524, Melisa Ailén Conde1,Cellular and Molecular Neurobiology ,"P105.-α-synuclein overexpression triggers a lipid metabolic switch: lipid 
droplets as an early marker of neurodegeneration "
525, Gabriela Alejandra Salvador1 ,Cellular and Molecular Neurobiology ,"P105.-α-synuclein overexpression triggers a lipid metabolic switch: lipid 
droplets as an early marker of neurodegeneration "
526," 
Paula Virginia Sarchi",Cellular and Molecular Neurobiology ,"P106.-Spleen alterations and increased brain CD4+ lymphocytes after 
pilocarpine-induced Status Epilepticus (SE) "
527, Alicia Raquel Rossi,Cellular and Molecular Neurobiology ,"P106.-Spleen alterations and increased brain CD4+ lymphocytes after 
pilocarpine-induced Status Epilepticus (SE) "
528, Miriana Mariussi,Cellular and Molecular Neurobiology ,"P106.-Spleen alterations and increased brain CD4+ lymphocytes after 
pilocarpine-induced Status Epilepticus (SE) "
529, Jerónimo Auzmendi,Cellular and Molecular Neurobiology ,"P106.-Spleen alterations and increased brain CD4+ lymphocytes after 
pilocarpine-induced Status Epilepticus (SE) "
530, Alberto Javier Ramos ,Cellular and Molecular Neurobiology ,"P106.-Spleen alterations and increased brain CD4+ lymphocytes after 
pilocarpine-induced Status Epilepticus (SE) "
531," 
Rocio Schumacher1",Cellular and Molecular Neurobiology ,"P107.-Impact of early overfeeding on the transcriptional regulation of genes 
associated with food intake control "
532, María F. Rossetti1,Cellular and Molecular Neurobiology ,"P107.-Impact of early overfeeding on the transcriptional regulation of genes 
associated with food intake control "
533,2,Cellular and Molecular Neurobiology ,"P107.-Impact of early overfeeding on the transcriptional regulation of genes 
associated with food intake control "
534, Gisela P. Lazzarino1,Cellular and Molecular Neurobiology ,"P107.-Impact of early overfeeding on the transcriptional regulation of genes 
associated with food intake control "
535, María F. Andreoli3,Cellular and Molecular Neurobiology ,"P107.-Impact of early overfeeding on the transcriptional regulation of genes 
associated with food intake control "
536, Jorge G. Ramos1,Cellular and Molecular Neurobiology ,"P107.-Impact of early overfeeding on the transcriptional regulation of genes 
associated with food intake control "
537,2 ,Cellular and Molecular Neurobiology ,"P107.-Impact of early overfeeding on the transcriptional regulation of genes 
associated with food intake control "
538," 
Romina Sierra1",Cellular and Molecular Neurobiology ,"P108.-Contribution of neural crest derived cells and GLAST+ pericytes to liver 
fibrosis "
539, María Victoria Blanco1,Cellular and Molecular Neurobiology ,"P108.-Contribution of neural crest derived cells and GLAST+ pericytes to liver 
fibrosis "
540, Carolina Borth1,Cellular and Molecular Neurobiology ,"P108.-Contribution of neural crest derived cells and GLAST+ pericytes to liver 
fibrosis "
