,autor,tema,poster
352, Silvia Lores Arnaiz1 ,Cellular and Molecular Neurobiology ,"P62.-Isolation of brain synaptosomes with functional 
mitochondria "
353,Juliette López Hanotte1,Cellular and Molecular Neurobiology ,"P63.-Neuroprotective Insulin-like Growth Factor 1 (IGF1) gene 
therapy for a rat model of sporadic Alzheimer's disease "
354, María Florencia Zappa Villar1,Cellular and Molecular Neurobiology ,"P63.-Neuroprotective Insulin-like Growth Factor 1 (IGF1) gene 
therapy for a rat model of sporadic Alzheimer's disease "
355, Joaquín Pardo1,Cellular and Molecular Neurobiology ,"P63.-Neuroprotective Insulin-like Growth Factor 1 (IGF1) gene 
therapy for a rat model of sporadic Alzheimer's disease "
356," Gisela 
Camihort2",Cellular and Molecular Neurobiology ,"P63.-Neuroprotective Insulin-like Growth Factor 1 (IGF1) gene 
therapy for a rat model of sporadic Alzheimer's disease "
357, Paula Cecilia Reggiani3 ,Cellular and Molecular Neurobiology ,"P63.-Neuroprotective Insulin-like Growth Factor 1 (IGF1) gene 
therapy for a rat model of sporadic Alzheimer's disease "
358,Sebastian Luna1,Cellular and Molecular Neurobiology ,"P64.-Glyphosate exposure impairs nervous system 
development and functioning "
359, Silvana Rosso1 ,Cellular and Molecular Neurobiology ,"P64.-Glyphosate exposure impairs nervous system 
development and functioning "
360,Agustina Macagno1,Cellular and Molecular Neurobiology ,"P65.-Dam Early Free Access to Hypertonic NaCl Solution 
Induces a Long-Term Effect on Offspring Basal Chronic Brain 
Cell Activity "
361, Cintia Porcari1,Cellular and Molecular Neurobiology ,"P65.-Dam Early Free Access to Hypertonic NaCl Solution 
Induces a Long-Term Effect on Offspring Basal Chronic Brain 
Cell Activity "
362, Laura Vivas1,Cellular and Molecular Neurobiology ,"P65.-Dam Early Free Access to Hypertonic NaCl Solution 
Induces a Long-Term Effect on Offspring Basal Chronic Brain 
Cell Activity "
363, Agustin Anastasia1,Cellular and Molecular Neurobiology ,"P65.-Dam Early Free Access to Hypertonic NaCl Solution 
Induces a Long-Term Effect on Offspring Basal Chronic Brain 
Cell Activity "
364," Andrea 
Godino1 ",Cellular and Molecular Neurobiology ,"P65.-Dam Early Free Access to Hypertonic NaCl Solution 
Induces a Long-Term Effect on Offspring Basal Chronic Brain 
Cell Activity "
365,Natalia Marchese1,Cellular and Molecular Neurobiology ,"P66.-Intrinsic blue-light responses in avian Müller glial cells 
involve non-visual opsin activation and calcium release from 
internal stores "
366, Maximiliano Rios1,Cellular and Molecular Neurobiology ,"P66.-Intrinsic blue-light responses in avian Müller glial cells 
involve non-visual opsin activation and calcium release from 
internal stores "
367, Mario Guido1 ,Cellular and Molecular Neurobiology ,"P66.-Intrinsic blue-light responses in avian Müller glial cells 
involve non-visual opsin activation and calcium release from 
internal stores "
368,Josefina Martín1,Cellular and Molecular Neurobiology ,"P67.-Role of RhoD GTPase in neuronal development and 
neuronal polarity "
369, Gonzalo Quassollo1,Cellular and Molecular Neurobiology ,"P67.-Role of RhoD GTPase in neuronal development and 
neuronal polarity "
370, Mariano Bisbal1 ,Cellular and Molecular Neurobiology ,"P67.-Role of RhoD GTPase in neuronal development and 
neuronal polarity "
371,Mara Soledad Mattalloni1,Cellular and Molecular Neurobiology ,"P68.-Passive immunization with anti-Myelin-associated 
glycoprotein antibodies induces an autistic phenotype 
associated with altered postnatal neurodevelopment "
372, Anabela Palandri1,Cellular and Molecular Neurobiology ,"P68.-Passive immunization with anti-Myelin-associated 
glycoprotein antibodies induces an autistic phenotype 
associated with altered postnatal neurodevelopment "
373, Cristian Bacaglio1,Cellular and Molecular Neurobiology ,"P68.-Passive immunization with anti-Myelin-associated 
glycoprotein antibodies induces an autistic phenotype 
associated with altered postnatal neurodevelopment "
374, Victor Amaya1,Cellular and Molecular Neurobiology ,"P68.-Passive immunization with anti-Myelin-associated 
glycoprotein antibodies induces an autistic phenotype 
associated with altered postnatal neurodevelopment "
375," 
Ronald L Schnnar2",Cellular and Molecular Neurobiology ,"P68.-Passive immunization with anti-Myelin-associated 
glycoprotein antibodies induces an autistic phenotype 
associated with altered postnatal neurodevelopment "
376, Pablo H H Lopez1 ,Cellular and Molecular Neurobiology ,"P68.-Passive immunization with anti-Myelin-associated 
glycoprotein antibodies induces an autistic phenotype 
associated with altered postnatal neurodevelopment "
377,Albano Mazzarini Dimarco1,Cellular and Molecular Neurobiology ,"P69.-FUNCTIONAL AND STRUCTURAL CHARACTERIZATION 
OF HUMAN HETEROMERIC 5-HT3 RECEPTORS "
378,2,Cellular and Molecular Neurobiology ,"P69.-FUNCTIONAL AND STRUCTURAL CHARACTERIZATION 
OF HUMAN HETEROMERIC 5-HT3 RECEPTORS "
379, Cecilia Bouzat1,Cellular and Molecular Neurobiology ,"P69.-FUNCTIONAL AND STRUCTURAL CHARACTERIZATION 
OF HUMAN HETEROMERIC 5-HT3 RECEPTORS "
380,2,Cellular and Molecular Neurobiology ,"P69.-FUNCTIONAL AND STRUCTURAL CHARACTERIZATION 
OF HUMAN HETEROMERIC 5-HT3 RECEPTORS "
381, Jeremías Corradi1,Cellular and Molecular Neurobiology ,"P69.-FUNCTIONAL AND STRUCTURAL CHARACTERIZATION 
OF HUMAN HETEROMERIC 5-HT3 RECEPTORS "
382, 2 ,Cellular and Molecular Neurobiology ,"P69.-FUNCTIONAL AND STRUCTURAL CHARACTERIZATION 
OF HUMAN HETEROMERIC 5-HT3 RECEPTORS "
383,Graciela L Mazzone1,Cellular and Molecular Neurobiology ," 
P70.-In vivo effect of a single dose of mesenchymal stem cells 
exogenously expressing IGF-I in a spinal cord compression 
model "
384, Samuel Cockey2,Cellular and Molecular Neurobiology ," 
P70.-In vivo effect of a single dose of mesenchymal stem cells 
exogenously expressing IGF-I in a spinal cord compression 
model "
385, Rocio Bertossi1,Cellular and Molecular Neurobiology ," 
P70.-In vivo effect of a single dose of mesenchymal stem cells 
exogenously expressing IGF-I in a spinal cord compression 
model "
386, Esteban J Fiore3,Cellular and Molecular Neurobiology ," 
P70.-In vivo effect of a single dose of mesenchymal stem cells 
exogenously expressing IGF-I in a spinal cord compression 
model "
387," Romina 
Sierra1",Cellular and Molecular Neurobiology ," 
P70.-In vivo effect of a single dose of mesenchymal stem cells 
exogenously expressing IGF-I in a spinal cord compression 
model "
388, Guillermo D Mazzolini3,Cellular and Molecular Neurobiology ," 
P70.-In vivo effect of a single dose of mesenchymal stem cells 
exogenously expressing IGF-I in a spinal cord compression 
model "
389, Jorge B Aquino1 ,Cellular and Molecular Neurobiology ," 
P70.-In vivo effect of a single dose of mesenchymal stem cells 
exogenously expressing IGF-I in a spinal cord compression 
model "
390,Candela Medina1,Cellular and Molecular Neurobiology ,"P71.-Role of actin cytoskeleton dynamics and its modulator 
Cofilin 1 in fear memory processing "
391, Verónica de la Fuente1,Cellular and Molecular Neurobiology ,"P71.-Role of actin cytoskeleton dynamics and its modulator 
Cofilin 1 in fear memory processing "
392, Arturo Romano1 ,Cellular and Molecular Neurobiology ,"P71.-Role of actin cytoskeleton dynamics and its modulator 
Cofilin 1 in fear memory processing "
393,Mara Medori1,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
394,2,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
395, Gonzalo Spelzini1,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
396,2,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
397, Luisa Renee Teruel1,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
398,2,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
399," Cindy Olmos 
Carreño1",Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
400,2,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
401, Viviana Sanchez1,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
402,2,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
403, Luciano Fiore1,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
404,2,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
405, Gabriel Scicolone1,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
406,2 ,Cellular and Molecular Neurobiology ,"P72.-EphA3 ectodomain and uPA increase retinal ganglion 
cells axon growth by regulating FAK activity "
407,Yamila Molinari1,Cellular and Molecular Neurobiology ,"P73.-Hyaluronic acid depletion effects on neurosphere 
cultures "
408, Matías Pibuel2,Cellular and Molecular Neurobiology ,"P73.-Hyaluronic acid depletion effects on neurosphere 
cultures "
409, Daniela Poodts2,Cellular and Molecular Neurobiology ,"P73.-Hyaluronic acid depletion effects on neurosphere 
cultures "
410, Mariangeles Díaz2,Cellular and Molecular Neurobiology ,"P73.-Hyaluronic acid depletion effects on neurosphere 
cultures "
411," Silvina 
Lompardía2",Cellular and Molecular Neurobiology ,"P73.-Hyaluronic acid depletion effects on neurosphere 
cultures "
412, Lucas Silvestroff1,Cellular and Molecular Neurobiology ,"P73.-Hyaluronic acid depletion effects on neurosphere 
cultures "
413, Paula Franco1 ,Cellular and Molecular Neurobiology ,"P73.-Hyaluronic acid depletion effects on neurosphere 
cultures "
414,Lorena P Neila1,Cellular and Molecular Neurobiology ,P74.-The effects of Wnt7b signalling on axonal morphology 
415, Silvana B. Rosso1 ,Cellular and Molecular Neurobiology ,P74.-The effects of Wnt7b signalling on axonal morphology 
416,Felipe Antonio Olave1,Cellular and Molecular Neurobiology ,"P75.-Evidence for a differential dorso-ventral hippocampal 
sensitivity to chronic stress in female rats: Relevance to sex 
biases in mood disorders "
417, Felipe Ignacio Aguayo1,Cellular and Molecular Neurobiology ,"P75.-Evidence for a differential dorso-ventral hippocampal 
sensitivity to chronic stress in female rats: Relevance to sex 
biases in mood disorders "
418, Luciano Roman-Albasini1,Cellular and Molecular Neurobiology ,"P75.-Evidence for a differential dorso-ventral hippocampal 
sensitivity to chronic stress in female rats: Relevance to sex 
biases in mood disorders "
419," Wladimir 
Antonio Corrales1",Cellular and Molecular Neurobiology ,"P75.-Evidence for a differential dorso-ventral hippocampal 
sensitivity to chronic stress in female rats: Relevance to sex 
biases in mood disorders "
420, Juan Pablo Silva1,Cellular and Molecular Neurobiology ,"P75.-Evidence for a differential dorso-ventral hippocampal 
sensitivity to chronic stress in female rats: Relevance to sex 
biases in mood disorders "
421, Jenny Lucy Fiedler1 ,Cellular and Molecular Neurobiology ,"P75.-Evidence for a differential dorso-ventral hippocampal 
sensitivity to chronic stress in female rats: Relevance to sex 
biases in mood disorders "
422,Milagros Ovejero1,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
423, Laura Gastaldi3,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
424, Monica Remedi1,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
425,3,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
426, Vaishali Sharma2,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
427," Mariano 
Bisbal1",Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
428, Thomas M. Jovin2,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
429, Donna J. Arndt-Jovin2,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
430, Alfredo Caceres1,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
431,3,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
432," Agustin 
Anastasia1",Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
433,3 ,Cellular and Molecular Neurobiology ,"P76.-Alpha-Synuclein-induced intracellular trafficking defects 
as a potential pathogenic mechanism for Parkinson’s Disease "
434,Anabela Palandri1,Cellular and Molecular Neurobiology ,"P77.-Deletion of the arginyltransferase gene in 
oligodendrocytes impairs myelination "
435, Laura Vanesa Bonnet1,Cellular and Molecular Neurobiology ,"P77.-Deletion of the arginyltransferase gene in 
oligodendrocytes impairs myelination "
436, Jesica Belen Flores Martin1,Cellular and Molecular Neurobiology ,"P77.-Deletion of the arginyltransferase gene in 
oligodendrocytes impairs myelination "
437," Anna 
Kashina1",Cellular and Molecular Neurobiology ,"P77.-Deletion of the arginyltransferase gene in 
oligodendrocytes impairs myelination "
438, Marta Hallak1,Cellular and Molecular Neurobiology ,"P77.-Deletion of the arginyltransferase gene in 
oligodendrocytes impairs myelination "
439, Mauricio Raul Galiano1 ,Cellular and Molecular Neurobiology ,"P77.-Deletion of the arginyltransferase gene in 
oligodendrocytes impairs myelination "
440,Mayra Perotti1,Cellular and Molecular Neurobiology ,"P78.-ROLES OF KIF5C ON NEURONAL POLARIZATION AND 
NEOCORTICAL FORMATION “IN SITU” "
441, Santiago Quiroga1 ,Cellular and Molecular Neurobiology ,"P78.-ROLES OF KIF5C ON NEURONAL POLARIZATION AND 
NEOCORTICAL FORMATION “IN SITU” "
442,Cintia Porcari1,Cellular and Molecular Neurobiology ,"P79.-Brain changes of serotonergic 5HT2C receptor and 
oxytocin expression after an acute body sodium depletion "
443, Agustina Macagno1,Cellular and Molecular Neurobiology ,"P79.-Brain changes of serotonergic 5HT2C receptor and 
oxytocin expression after an acute body sodium depletion "
444, Laura Vivas1,Cellular and Molecular Neurobiology ,"P79.-Brain changes of serotonergic 5HT2C receptor and 
oxytocin expression after an acute body sodium depletion "
445, Andrea Godino1 ,Cellular and Molecular Neurobiology ,"P79.-Brain changes of serotonergic 5HT2C receptor and 
oxytocin expression after an acute body sodium depletion "
446,Mauro Ramirez1,Cellular and Molecular Neurobiology ,"P80.-Role of the Piriform Cortex in the development of social 
behavior in mice "
447, Araceli Seiffe1,Cellular and Molecular Neurobiology ,"P80.-Role of the Piriform Cortex in the development of social 
behavior in mice "
448, Sofia Degiorgi1,Cellular and Molecular Neurobiology ,"P80.-Role of the Piriform Cortex in the development of social 
behavior in mice "
449, Joaquin Correia Goncebatt1,Cellular and Molecular Neurobiology ,"P80.-Role of the Piriform Cortex in the development of social 
behavior in mice "
450," 
Amaicha Depino1 ",Cellular and Molecular Neurobiology ,"P80.-Role of the Piriform Cortex in the development of social 
behavior in mice "
451,Maximiliano Nicolas Rios1,Cellular and Molecular Neurobiology ,"P81.-Arylalkylamine N-acetyltransferase: “Nuclear 
translocation and potential role in response to blue light in 
retinal neuron cells” "
452, Natalia Andrea Marchese1,Cellular and Molecular Neurobiology ,"P81.-Arylalkylamine N-acetyltransferase: “Nuclear 
translocation and potential role in response to blue light in 
retinal neuron cells” "
453, Mario Eduardo Guido1 ,Cellular and Molecular Neurobiology ,"P81.-Arylalkylamine N-acetyltransferase: “Nuclear 
translocation and potential role in response to blue light in 
retinal neuron cells” "
454,Debora Rodriguez1,Cellular and Molecular Neurobiology ," 
P82.-Effects of nuclear receptors PPARγ and RXR activation in 
NPC and OPC primary cultures "
455, ,Cellular and Molecular Neurobiology ," 
P82.-Effects of nuclear receptors PPARγ and RXR activation in 
NPC and OPC primary cultures "
456, Laura Gómez Pinto1,Cellular and Molecular Neurobiology ," 
P82.-Effects of nuclear receptors PPARγ and RXR activation in 
NPC and OPC primary cultures "
457, Patricia Mathieu1,Cellular and Molecular Neurobiology ," 
P82.-Effects of nuclear receptors PPARγ and RXR activation in 
NPC and OPC primary cultures "
458, Ana M. Adamo1 ,Cellular and Molecular Neurobiology ," 
P82.-Effects of nuclear receptors PPARγ and RXR activation in 
NPC and OPC primary cultures "
459,María Sol Rodríguez1,Cellular and Molecular Neurobiology ," 
P83.-Intracellular trafficking of Diacylglicerol Lipase in Kinesin 
Light Chain knock-out neurons "
460, Iván Fernandez Bessone1,Cellular and Molecular Neurobiology ," 
P83.-Intracellular trafficking of Diacylglicerol Lipase in Kinesin 
Light Chain knock-out neurons "
461, Jordi Navarro1,Cellular and Molecular Neurobiology ," 
P83.-Intracellular trafficking of Diacylglicerol Lipase in Kinesin 
Light Chain knock-out neurons "
462," María Sol 
Sargiotto1",Cellular and Molecular Neurobiology ," 
P83.-Intracellular trafficking of Diacylglicerol Lipase in Kinesin 
Light Chain knock-out neurons "
463, Mariana Holubiec1,Cellular and Molecular Neurobiology ," 
P83.-Intracellular trafficking of Diacylglicerol Lipase in Kinesin 
Light Chain knock-out neurons "
464, Tomás Falzone1,Cellular and Molecular Neurobiology ," 
P83.-Intracellular trafficking of Diacylglicerol Lipase in Kinesin 
Light Chain knock-out neurons "
465, Trinidad Saez1 ,Cellular and Molecular Neurobiology ," 
P83.-Intracellular trafficking of Diacylglicerol Lipase in Kinesin 
Light Chain knock-out neurons "
466,María E Rosbaco1,Cellular and Molecular Neurobiology ,"P84.-NEUROPROTECTIVE EFFECT OF FK506 AGAINST 
OXIDATIVE STRESS "
467, Cristina Daneri-Becerra1,Cellular and Molecular Neurobiology ,"P84.-NEUROPROTECTIVE EFFECT OF FK506 AGAINST 
OXIDATIVE STRESS "
468, Mario D Galigniana1,Cellular and Molecular Neurobiology ,"P84.-NEUROPROTECTIVE EFFECT OF FK506 AGAINST 
OXIDATIVE STRESS "
469,2,Cellular and Molecular Neurobiology ,"P84.-NEUROPROTECTIVE EFFECT OF FK506 AGAINST 
OXIDATIVE STRESS "
470," Ana Belén 
Ramos-Hryb1 ",Cellular and Molecular Neurobiology ,"P84.-NEUROPROTECTIVE EFFECT OF FK506 AGAINST 
OXIDATIVE STRESS "
471,Victoria Rozés.Salvador1,Cellular and Molecular Neurobiology ,"P85.-SARA involvement in modulating TGFβ signaling during 
neural development "
472, Carlos Wilson2,Cellular and Molecular Neurobiology ,"P85.-SARA involvement in modulating TGFβ signaling during 
neural development "
473, Christian Gonzalez-Billault4,Cellular and Molecular Neurobiology ,"P85.-SARA involvement in modulating TGFβ signaling during 
neural development "
474," Cecilia 
Conde1 ",Cellular and Molecular Neurobiology ,"P85.-SARA involvement in modulating TGFβ signaling during 
neural development "
475,Lucia Salatino1,Cellular and Molecular Neurobiology ,"P86.-Spontaneous electrical activity regulates axonal arbor 
growth in developing Zebrafish lateral line afferent neurons "
476, Ana Belen Elgoyhen2,Cellular and Molecular Neurobiology ,"P86.-Spontaneous electrical activity regulates axonal arbor 
growth in developing Zebrafish lateral line afferent neurons "
477, Paola Plazas1 ,Cellular and Molecular Neurobiology ,"P86.-Spontaneous electrical activity regulates axonal arbor 
growth in developing Zebrafish lateral line afferent neurons "
478,Libia Catalina Castellanos1,Cellular and Molecular Neurobiology ,P87.-ASIC1a channel and activation of ERK pathway 
479, Rodolfo Gatto2,Cellular and Molecular Neurobiology ,P87.-ASIC1a channel and activation of ERK pathway 
480, Osvaldo Daniel Uchitel1,Cellular and Molecular Neurobiology ,P87.-ASIC1a channel and activation of ERK pathway 
481," Carina 
Weissmann1 ",Cellular and Molecular Neurobiology ,P87.-ASIC1a channel and activation of ERK pathway 
482,Rocio Schumacher1,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
483, Florencia Rossetti1,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
484, Gisela Lazarino1,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
485, Florencia Acutain2,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
486," 
Canesini Guillermina1",Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
487, Fabre Nicolas1,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
488, Stoker Cora1,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
489, Josefina Carrio3,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
490," Florencia 
Andreoli4",Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
491, Guillermo Ramos1 ,Cellular and Molecular Neurobiology ,"P88.-Effects of postnatal overfeeding and enriched 
environment over the brain reward system evaluated by 
feeding behavior test "
492,Pablo Silva1,Cellular and Molecular Neurobiology ,"P89.-Abnormal neuron nuclear morphology after transgene 
suppression in a conditional TDP-43 mouse model of 
neurodegenerative disease "
493, Gabriela Nieva1,Cellular and Molecular Neurobiology ,"P89.-Abnormal neuron nuclear morphology after transgene 
suppression in a conditional TDP-43 mouse model of 
neurodegenerative disease "
494, Lionel Muller1 ,Cellular and Molecular Neurobiology ,"P89.-Abnormal neuron nuclear morphology after transgene 
suppression in a conditional TDP-43 mouse model of 
neurodegenerative disease "
495,Juan Pablo Silva1,Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
496, Wladimir A. Corrales1,Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
497, Macarena Tejos-Bravo1,Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
498," Felipe I. 
Aguayo1",Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
499, Felipe  A. Olave1,Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
500, Luciano Román-Albasini1,Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
501, John A. Cidlowski3,Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
502," Vinicius 
Maracaja-Coutinho2",Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
503, Jenny L. Fiedler1 ,Cellular and Molecular Neurobiology ,"P90.-Hippocampal glucocorticoids receptors mediate a sex-
biased microRNAs profile expression in mice "
504,Florencia Martina Soler Garcia1,Cellular and Molecular Neurobiology ,"P91.-Climbing fiber patterning is impaired by angiotensin II 
type 2 receptor blockage on postnatal cerebellum "
505, Susana Inés Sanchez1,Cellular and Molecular Neurobiology ,"P91.-Climbing fiber patterning is impaired by angiotensin II 
type 2 receptor blockage on postnatal cerebellum "
506, Frank Schweda2,Cellular and Molecular Neurobiology ,"P91.-Climbing fiber patterning is impaired by angiotensin II 
type 2 receptor blockage on postnatal cerebellum "
507," Lucia 
Beatriz Fuentes1 ",Cellular and Molecular Neurobiology ,"P91.-Climbing fiber patterning is impaired by angiotensin II 
type 2 receptor blockage on postnatal cerebellum "
508,Camila Sosa1,Cellular and Molecular Neurobiology ,"P92.-Sex chromosome complement regulates Dnmt3a-gene 
expression in the anterior amygdala of developing mouse 
brain "
509, Lucas E. Cabrera Zapata1,Cellular and Molecular Neurobiology ,"P92.-Sex chromosome complement regulates Dnmt3a-gene 
expression in the anterior amygdala of developing mouse 
brain "
510, Carla D. Cisternas1,Cellular and Molecular Neurobiology ,"P92.-Sex chromosome complement regulates Dnmt3a-gene 
expression in the anterior amygdala of developing mouse 
brain "
511," María Julia 
Cambiasso2 ",Cellular and Molecular Neurobiology ,"P92.-Sex chromosome complement regulates Dnmt3a-gene 
expression in the anterior amygdala of developing mouse 
brain "
512,Paula Andrea Soto1,Cellular and Molecular Neurobiology ,"P93.-Adipose-derived mesenchymal stem cells and magnetic 
nanoparticles: different tools combined to promote sciatic 
nerve regeneration after injury "
513, Gonzalo Piñero1,Cellular and Molecular Neurobiology ,"P93.-Adipose-derived mesenchymal stem cells and magnetic 
nanoparticles: different tools combined to promote sciatic 
nerve regeneration after injury "
514, Vanina Usach1,Cellular and Molecular Neurobiology ,"P93.-Adipose-derived mesenchymal stem cells and magnetic 
nanoparticles: different tools combined to promote sciatic 
nerve regeneration after injury "
515," Marcela B Fernández van 
Raap2",Cellular and Molecular Neurobiology ,"P93.-Adipose-derived mesenchymal stem cells and magnetic 
nanoparticles: different tools combined to promote sciatic 
nerve regeneration after injury "
516, Patricia Setton-Avruj1 ,Cellular and Molecular Neurobiology ,"P93.-Adipose-derived mesenchymal stem cells and magnetic 
nanoparticles: different tools combined to promote sciatic 
nerve regeneration after injury "
517,Paula Virginia Subirada1,Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
518, María Victoria Vaglienti1,Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
519, Agustín Fierro2,Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
520," Alejandra 
Jurado2",Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
521, Paula O’Brien2,Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
522, José Luna Pinto2,Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
523, María Cecilia Sánchez1,Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
524," Agustín 
Anastasia3",Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
525, Pablo Federico Barcelona1 ,Cellular and Molecular Neurobiology ,"P94.-Participation of p75NTR in a mouse model of Choroidal 
Neovascularization "
526,L. Teresita Tribbia1,Cellular and Molecular Neurobiology ,"P95.-Dopaminergic neuroprotection induced by yerba mate: 
experimental evidence in hemiparkinsonian animals "
527, Gimena Gomez2,Cellular and Molecular Neurobiology ,"P95.-Dopaminergic neuroprotection induced by yerba mate: 
experimental evidence in hemiparkinsonian animals "
