,autor,afiliacion,titulo,tema,primer_autor
1,Leandro Ruiz-Leyva," Department of Pharmacology, Faculty of Medicine, University of Granada, Spain",Sigma-1 antagonism inhibits binge ethanol drinking at adolescence,"Cognition, Behavior, and Memory",
2,Ignacio Morón," Department of Psychobiology and Centre of Investigation of Mind, Brain, and Behaviour (CIMCYC), University of Granada, Spain",Sigma-1 antagonism inhibits binge ethanol drinking at adolescence,"Cognition, Behavior, and Memory",
3,Enrique Portillo-Salido," Drug Discovery and Preclinical Development, Esteve Pharmaceuticals, Parc Científic de Barcelona, Barcelona, Spain",Sigma-1 antagonism inhibits binge ethanol drinking at adolescence,"Cognition, Behavior, and Memory",
4,Cruz Miguel Cendán," Department of Pharmacology, Faculty of Medicine, University of Granada, Spain",Sigma-1 antagonism inhibits binge ethanol drinking at adolescence,"Cognition, Behavior, and Memory",
5,Rodrigo García Virgolini," Instituto de Investigación Médica M. y M. Ferreyra (INIMEC–CONICET-Universidad Nacional de Córdoba), Córdoba, C.P. ",Sigma-1 antagonism inhibits binge ethanol drinking at adolescence,"Cognition, Behavior, and Memory",
6,Ricardo Marcos Pautassi," Instituto de Investigación Médica M. y M. Ferreyra (INIMEC–CONICET-Universidad Nacional de Córdoba), Córdoba, C.P. ",Sigma-1 antagonism inhibits binge ethanol drinking at adolescence,"Cognition, Behavior, and Memory",
0,María Paula Ospital," Departamento de Fisiología, Biología Molecular y Celular; FCEN; Instituto de Fisiología, Biología Molecular y Neurociencias; UBA-CONICET, Argentina.",Search of functional and behavioral evidences of olfactory sensory pre-conditioning in honeybees Apis mellifera.,"Cognition, Behavior, and Memory",
1,Fernando Locatelli," Departamento de Fisiología, Biología Molecular y Celular; FCEN; Instituto de Fisiología, Biología Molecular y Neurociencias; UBA-CONICET, Argentina.",Search of functional and behavioral evidences of olfactory sensory pre-conditioning in honeybees Apis mellifera.,"Cognition, Behavior, and Memory",
0,Macarena Soledad Fernández," Instituto de Investigación Médica M. y M. Ferreyra (INIMEC – CONICET-Universidad Nacional de Córdoba), Córdoba, C.P ","Relationship between activity in the open field, light-dark box, multivariate concentric square field, sucrose preference test, and ethanol intake in adolescent rats","Cognition, Behavior, and Memory",
1,Ana Ferreyra," Instituto de Investigación Médica M. y M. Ferreyra (INIMEC – CONICET-Universidad Nacional de Córdoba), Córdoba, C.P ","Relationship between activity in the open field, light-dark box, multivariate concentric square field, sucrose preference test, and ethanol intake in adolescent rats","Cognition, Behavior, and Memory",
2,Ricardo Marcos Pautassi,"[' Instituto de Investigación Médica M. y M. Ferreyra (INIMEC – CONICET-Universidad Nacional de Córdoba), Córdoba, C.P ', ' Facultad de Psicología, Universidad Nacional de Córdoba, Córdoba, C.P ']","Relationship between activity in the open field, light-dark box, multivariate concentric square field, sucrose preference test, and ethanol intake in adolescent rats","Cognition, Behavior, and Memory",
0,Lena V Peroni," Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN, UBA - CONICET",Online assessments of larger contexts modulation in word Predictability in Short Stories,"Cognition, Behavior, and Memory",
1,Bruno Bianchi," Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN, UBA - CONICET",Online assessments of larger contexts modulation in word Predictability in Short Stories,"Cognition, Behavior, and Memory",
2,Diego E Shalom," Departamento de Física, FCEyN, UBA",Online assessments of larger contexts modulation in word Predictability in Short Stories,"Cognition, Behavior, and Memory",
3,Juan E Kamienkowski," Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN, UBA - CONICET",Online assessments of larger contexts modulation in word Predictability in Short Stories,"Cognition, Behavior, and Memory",
4,Juan E Kamienkowski," Departamento de Física, FCEyN, UBA",Online assessments of larger contexts modulation in word Predictability in Short Stories,"Cognition, Behavior, and Memory",
0,María Angélica Benítez," Laboratorio Interdisciplinario de Neurociencia Cognitiva (LINC), Centro de Estudios Multidisciplinario en Sistemas Complejos y Ciencias del Cerebro (CEMSC",Musical training affects language in 4- and 5- year-old children,"Cognition, Behavior, and Memory",
1,Verónika Diaz Abrahan," Laboratorio Interdisciplinario de Neurociencia Cognitiva (LINC), Centro de Estudios Multidisciplinario en Sistemas Complejos y Ciencias del Cerebro (CEMSC",Musical training affects language in 4- and 5- year-old children,"Cognition, Behavior, and Memory",
2,Favio Shifres, Laboratorio para el Estudio de la Experiencia Musical (LEEM). Departamento de Música. Facultad de Bellas Artes (FBA). Universidad Nacional de La Plata (UNLP),Musical training affects language in 4- and 5- year-old children,"Cognition, Behavior, and Memory",
3,Nadia Justel," Laboratorio Interdisciplinario de Neurociencia Cognitiva (LINC), Centro de Estudios Multidisciplinario en Sistemas Complejos y Ciencias del Cerebro (CEMSC",Musical training affects language in 4- and 5- year-old children,"Cognition, Behavior, and Memory",
0,Agustina Birba," Universidad de San Andrés, Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
1,Sol Fittipaldi," Universidad de San Andrés, Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
2,Judith C. Cediel Escobar," Instituto de Psicología, Universidad del Valle, Cali, Colombia.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
3,Cecilia Gonzalez Campo," Universidad de San Andrés, Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
4,Agustina Legaz," National Scientific and Technical Research Council (CONICET), Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
5,Mariano Diaz Rivera," National Agency of Scientific and Technological Promotion (ANPCyT), Buenos Aires, Argentina",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
6,Miquel Martorell Caro," National Scientific and Technical Research Council (CONICET), Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
7,Florencia Alifano," National Scientific and Technical Research Council (CONICET), Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
8,Agustín Ibáñez," Universidad de San Andrés, Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
9,Adolfo García," Universidad de San Andrés, Buenos Aires, Argentina.",Multimodal neurocognitive markers of naturalistic narratives distinguish among neurodegenerative diseases,"Cognition, Behavior, and Memory",
0,Melina Vladisauskas," Laboratorio de Neurociencia, Universidad Torcuato di Tella - CONICET",Machine Learning algorithms to increase children motivation in cognitive training videogames,"Cognition, Behavior, and Memory",
1,Laouen M. Belloli," Laboratorio de Inteligencia Artificial Aplicada, Depto. de computación, FCEyN, UBA–CONICET",Machine Learning algorithms to increase children motivation in cognitive training videogames,"Cognition, Behavior, and Memory",
2,Diego Fernández Slezak," Laboratorio de Inteligencia Artificial Aplicada, Depto. de computación, FCEyN, UBA–CONICET",Machine Learning algorithms to increase children motivation in cognitive training videogames,"Cognition, Behavior, and Memory",
3,Andrea P. Goldin," Laboratorio de Neurociencia, Universidad Torcuato di Tella - CONICET",Machine Learning algorithms to increase children motivation in cognitive training videogames,"Cognition, Behavior, and Memory",
0,Macarena Amigo Durán, Instituto de Investigación en Biomedicina de Buenos Aires (IBioBA) –  CONICET - Partner Institute of the Max Planck Society,Hierarchical learning of olfactory discrimination in a visual context,"Cognition, Behavior, and Memory",
1,Sebastián A. Romano, Instituto de Investigación en Biomedicina de Buenos Aires (IBioBA) –  CONICET - Partner Institute of the Max Planck Society,Hierarchical learning of olfactory discrimination in a visual context,"Cognition, Behavior, and Memory",
2,Antonia Marin-Burgin, Instituto de Investigación en Biomedicina de Buenos Aires (IBioBA) –  CONICET - Partner Institute of the Max Planck Society,Hierarchical learning of olfactory discrimination in a visual context,"Cognition, Behavior, and Memory",
3,Noel Federman, Instituto de Investigación en Biomedicina de Buenos Aires (IBioBA) –  CONICET - Partner Institute of the Max Planck Society,Hierarchical learning of olfactory discrimination in a visual context,"Cognition, Behavior, and Memory",
0,Tomás Delgado*," Laboratorio de Neurociencia, Universidad Torcuato Di Tella",Do I need to know who is teaching me? Effects of prior knowledge about teachers on learners’ performance.,"Cognition, Behavior, and Memory",
1,Julieta Goldstein*," Laboratorio de Neurociencia, Universidad Torcuato Di Tella",Do I need to know who is teaching me? Effects of prior knowledge about teachers on learners’ performance.,"Cognition, Behavior, and Memory",
2,Ariel Haimovici," Laboratorio de Neurociencia, Universidad Torcuato Di Tella",Do I need to know who is teaching me? Effects of prior knowledge about teachers on learners’ performance.,"Cognition, Behavior, and Memory",
3,Cecilia Inés Calero," Laboratorio de Neurociencia, Universidad Torcuato Di Tella",Do I need to know who is teaching me? Effects of prior knowledge about teachers on learners’ performance.,"Cognition, Behavior, and Memory",
0,Marcos Pietto," Unidad de Neurobiología Aplicada (UNA, CEMIC-CONICET)",Conflict-Related Brain Activity after Individualized Cognitive Training in Preschoolers from Poor Homes,"Cognition, Behavior, and Memory",
1,Federico Giovannetti," Unidad de Neurobiología Aplicada (UNA, CEMIC-CONICET)",Conflict-Related Brain Activity after Individualized Cognitive Training in Preschoolers from Poor Homes,"Cognition, Behavior, and Memory",
2,Maria Soledad Segretin," Unidad de Neurobiología Aplicada (UNA, CEMIC-CONICET)",Conflict-Related Brain Activity after Individualized Cognitive Training in Preschoolers from Poor Homes,"Cognition, Behavior, and Memory",
3,Juan Kamienkowski," Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN-UBA",Conflict-Related Brain Activity after Individualized Cognitive Training in Preschoolers from Poor Homes,"Cognition, Behavior, and Memory",
4,Sebastián Lipina," Unidad de Neurobiología Aplicada (UNA, CEMIC-CONICET)",Conflict-Related Brain Activity after Individualized Cognitive Training in Preschoolers from Poor Homes,"Cognition, Behavior, and Memory",
0,Karina Viviana Rodriguez," Departamento de Física UNS - IFISUR, Bahía Blanca - Centro Integral de Neurociencias Aplicadas, Bahía Blanca.",Combining eye tracking and machine learning techniques to detect dyslexia,"Cognition, Behavior, and Memory",
1,Francisco Iaconis," Departamento de Física UNS - IFISUR, Bahía Blanca.",Combining eye tracking and machine learning techniques to detect dyslexia,"Cognition, Behavior, and Memory",
2,Gustavo Gasaneo," Departamento de Física UNS - IFISUR, Bahía Blanca - Centro Integral de Neurociencias Aplicadas, Bahía Blanca.",Combining eye tracking and machine learning techniques to detect dyslexia,"Cognition, Behavior, and Memory",
3,Alejandra Mendivelzua," Laboratorio Especializado en Aprendizaje y Neurociencias, Buenos Aires.",Combining eye tracking and machine learning techniques to detect dyslexia,"Cognition, Behavior, and Memory",
4,Laura García Blanco," Laboratorio Especializado en Aprendizaje y Neurociencias, Buenos Aires.",Combining eye tracking and machine learning techniques to detect dyslexia,"Cognition, Behavior, and Memory",
5,Manuela Sanchez," Laboratorio Especializado en Aprendizaje y Neurociencias, Buenos Aires.",Combining eye tracking and machine learning techniques to detect dyslexia,"Cognition, Behavior, and Memory",
0,Micaela Betsabe Marini," Grupo Neurociencias de Sistemas, IFIBIO-Houssay, UBA-CONICET",Characterization of age-related differences in impulsivity among adolescent and adult rats,"Cognition, Behavior, and Memory",
1,Cecilia Martinez," Grupo Neurociencias de Sistemas, IFIBIO-Houssay, UBA-CONICET",Characterization of age-related differences in impulsivity among adolescent and adult rats,"Cognition, Behavior, and Memory",
0,Damian Ariel Care," Laboratorio de Inteligencia Artificial Aplicada (ICC, CONICET-UBA, Argentina)",Categorical discrimination and target detection in visual search: An investigation using concurrent EEG and eye movement recordings,"Cognition, Behavior, and Memory",
1,Bruno Bianchi," Laboratorio de Inteligencia Artificial Aplicada (ICC, CONICET-UBA, Argentina)",Categorical discrimination and target detection in visual search: An investigation using concurrent EEG and eye movement recordings,"Cognition, Behavior, and Memory",
2,Juan Esteban Kamienkowski," Laboratorio de Inteligencia Artificial Aplicada (ICC, CONICET-UBA, Argentina)",Categorical discrimination and target detection in visual search: An investigation using concurrent EEG and eye movement recordings,"Cognition, Behavior, and Memory",
3,Matias J. Ison," School of Psychology (University of Nottingham, UK)",Categorical discrimination and target detection in visual search: An investigation using concurrent EEG and eye movement recordings,"Cognition, Behavior, and Memory",
0,Ivanna Castro Pascual," Laboratorio de Cronobiología, IMIBIO-SL, CONICET-UNSL, San Luis, Argentina",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
1,Bruna Pereira Sorroche," Centro de Pesquisa em Oncologia Molecular, Hospital de Câncer de Barretos, São Paulo, Brasil",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
2,Florencia Elisa Curzel," Laboratorio de Ecología de Comunidades y Macroecología, IEGEBA CONICET, FCEN, UBA, Buenos Aires, Argentina.",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
3,Fernando Gabriel Altamigano," Laboratorio de Cronobiología, IMIBIO-SL, CONICET-UNSL, San Luis, Argentina",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
4,Mariana Lucila Ferramola," FQByF, UNSL, San Luis, Argentina",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
5,Maria Gabriela Lacoste," Laboratorio de Cronobiología, IMIBIO-SL, CONICET-UNSL, San Luis, Argentina",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
6,Marcela Delgado," FQByF, UNSL, San Luis, Argentina",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
7,Mauricio Martin," Laboratorio de Neurobiología, INIMEC, CONICET-UNC, Córdoba, Argentina",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
8,Ana Cecilia Anzulovich,"[' Laboratorio de Cronobiología, IMIBIO-SL, CONICET-UNSL, San Luis, Argentina', ' FQByF, UNSL, San Luis, Argentina']",CALORIC RESTRICTION RECOVERED CEREBELLAR MOTOR AND COGNITIVE ABILITIES IN AGED RATS,"Cognition, Behavior, and Memory",
0,Ramiro Tintorelli*," Laboratorio de Memoria, Instituto de Biología Celular y Neurociencia “Prof. E. De Robertis” (IBCN), Facultad de Medicina, UBA-CONICET, Buenos Aires, Argentina.",Behavioral Tagging as a mechanism for aversive-memory formation under acute stress.,"Cognition, Behavior, and Memory",
1,Pamela Lopes da Cunha*," Laboratorio de Memoria, Instituto de Biología Celular y Neurociencia “Prof. E. De Robertis” (IBCN), Facultad de Medicina, UBA-CONICET, Buenos Aires, Argentina.",Behavioral Tagging as a mechanism for aversive-memory formation under acute stress.,"Cognition, Behavior, and Memory",
2,Julieta Correa," Laboratorio de Memoria, Instituto de Biología Celular y Neurociencia “Prof. E. De Robertis” (IBCN), Facultad de Medicina, UBA-CONICET, Buenos Aires, Argentina.",Behavioral Tagging as a mechanism for aversive-memory formation under acute stress.,"Cognition, Behavior, and Memory",
3,Pablo Budriesi," Laboratorio de Memoria, Instituto de Biología Celular y Neurociencia “Prof. E. De Robertis” (IBCN), Facultad de Medicina, UBA-CONICET, Buenos Aires, Argentina.",Behavioral Tagging as a mechanism for aversive-memory formation under acute stress.,"Cognition, Behavior, and Memory",
4,Haydée Viola," Laboratorio de Memoria, Instituto de Biología Celular y Neurociencia “Prof. E. De Robertis” (IBCN), Facultad de Medicina, UBA-CONICET, Buenos Aires, Argentina.",Behavioral Tagging as a mechanism for aversive-memory formation under acute stress.,"Cognition, Behavior, and Memory",
0,Gustavo Ezequiel Buján, Universidad de Buenos Aires. Facultad de Medicina. ,BEHAVIORAL ALTERATIONS INDUCED BY VOLUNTARY ETHANOL INTAKE AND NOISE EXPOSURE IN MALE RATS,"Cognition, Behavior, and Memory",
1,Héctor Alejandro Serra, Universidad de Buenos Aires. Facultad de Medicina. ,BEHAVIORAL ALTERATIONS INDUCED BY VOLUNTARY ETHANOL INTAKE AND NOISE EXPOSURE IN MALE RATS,"Cognition, Behavior, and Memory",
2,Sonia Jazmín Molina," Universidad de Buenos Aires. Consejo Nacional de Investigaciones Científicas y Técnicas. Centro de Estudios Farmacológicos y Botánicos (CEFyBO, UBA-CONICET). Buenos Aires, Argentina.",BEHAVIORAL ALTERATIONS INDUCED BY VOLUNTARY ETHANOL INTAKE AND NOISE EXPOSURE IN MALE RATS,"Cognition, Behavior, and Memory",
3,Laura Ruth Guelman," Universidad de Buenos Aires. Consejo Nacional de Investigaciones Científicas y Técnicas. Centro de Estudios Farmacológicos y Botánicos (CEFyBO, UBA-CONICET). Buenos Aires, Argentina.",BEHAVIORAL ALTERATIONS INDUCED BY VOLUNTARY ETHANOL INTAKE AND NOISE EXPOSURE IN MALE RATS,"Cognition, Behavior, and Memory",
0,Daniela Ramirez Butavand," Laboratorio de Memoria y Cognición Molecular, Instituto de Neurociencias Cognitivas y Traslacionales, Universidad Favaloro-INECO-CONICET",Acute physical exercise improves long-term recognition memory,"Cognition, Behavior, and Memory",
1,Magdalena Miranda," Laboratorio de Memoria y Cognición Molecular, Instituto de Neurociencias Cognitivas y Traslacionales, Universidad Favaloro-INECO-CONICET",Acute physical exercise improves long-term recognition memory,"Cognition, Behavior, and Memory",
2,Fabricio Ballarini," Instituto de Biología Celular y Neurociencias, Facultad de Medicina, UBA-CONICET, Buenos Aires, Argentina",Acute physical exercise improves long-term recognition memory,"Cognition, Behavior, and Memory",
3,Pedro Bekinschtein," Laboratorio de Memoria y Cognición Molecular, Instituto de Neurociencias Cognitivas y Traslacionales, Universidad Favaloro-INECO-CONICET",Acute physical exercise improves long-term recognition memory,"Cognition, Behavior, and Memory",
0,Constanza Milena Jandar Paz," Instituto Ferreyra (INIMEC-CONICET-Universidad Nacional de Córdoba), Córdoba, Argentina",6-OHDA-induced dopaminergic neuron degeneration exacerbates anxiety-related behaviors in BDNFMet/Met mice,"Cognition, Behavior, and Memory",
1,Agustín Anastasía," Instituto Ferreyra (INIMEC-CONICET-Universidad Nacional de Córdoba), Córdoba, Argentina",6-OHDA-induced dopaminergic neuron degeneration exacerbates anxiety-related behaviors in BDNFMet/Met mice,"Cognition, Behavior, and Memory",
0,Guadalupe Herrera," IFEC-CONICET. Depto. Farmacología. Facultad de Ciencias Químicas. Universidad Nacional de Córdoba, Argentina.",α-MSH modulation of the impairment in contextual fear memory induced by High-fat diet consumption; possible glial changes.,"Cognition, Behavior, and Memory",
1,Mercedes Lasaga," Instituto de Investigaciones Biomédicas INBIOMED UBA-CONICET, Facultad de Medicina, Buenos Aires, Argentina.",α-MSH modulation of the impairment in contextual fear memory induced by High-fat diet consumption; possible glial changes.,"Cognition, Behavior, and Memory",
2,Teresa Scimonelli," IFEC-CONICET. Depto. Farmacología. Facultad de Ciencias Químicas. Universidad Nacional de Córdoba, Argentina.",α-MSH modulation of the impairment in contextual fear memory induced by High-fat diet consumption; possible glial changes.,"Cognition, Behavior, and Memory",
0,Gustavo Ezequiel Juantorena," Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN (UBA-CONICET)",Understanding a complex task: An exploratory study using a web‐based Trail Making Test digital version,"Cognition, Behavior, and Memory",
1,Ignacio Linari," Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN (UBA-CONICET)",Understanding a complex task: An exploratory study using a web‐based Trail Making Test digital version,"Cognition, Behavior, and Memory",
2,Agustín Petroni," Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN (UBA-CONICET)",Understanding a complex task: An exploratory study using a web‐based Trail Making Test digital version,"Cognition, Behavior, and Memory",
3,Juan Esteban Kamienkowski,"[' Laboratorio de Inteligencia Artificial Aplicada, Instituto de Ciencias de la Computación, FCEyN (UBA-CONICET)', ' Departamento de Física, FCEyN, UBA.']",Understanding a complex task: An exploratory study using a web‐based Trail Making Test digital version,"Cognition, Behavior, and Memory",
0,Melina Petrissans," Instituto de Fisiología y Biofísica (IFIBIO) Bernardo Houssay, Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires, CONICET, Buenos Aires, Argentina.",Synaptic output of dopaminergic neurons only modulate positively contextual memory in Drosophila,"Cognition, Behavior, and Memory",
1,Carolina D'Odorico," Instituto de Fisiología y Biofísica (IFIBIO) Bernardo Houssay, Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires, CONICET, Buenos Aires, Argentina.",Synaptic output of dopaminergic neurons only modulate positively contextual memory in Drosophila,"Cognition, Behavior, and Memory",
2,Micaela Vicente Biscardi," Instituto de Fisiología y Biofísica (IFIBIO) Bernardo Houssay, Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires, CONICET, Buenos Aires, Argentina.",Synaptic output of dopaminergic neurons only modulate positively contextual memory in Drosophila,"Cognition, Behavior, and Memory",
3,Mario Rafael Pagani," Instituto de Fisiología y Biofísica (IFIBIO) Bernardo Houssay, Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires, CONICET, Buenos Aires, Argentina.",Synaptic output of dopaminergic neurons only modulate positively contextual memory in Drosophila,"Cognition, Behavior, and Memory",
0,Maria Florencia Zappa Villar," Biochemistry Research Institute of La Plata Professor Dr. Rodolfo R. Brenner (INIBIOLP). School of Medical Sciences, National University of La Plata, Argentina.",SPORADIC ALZHEIMER’S DISEASE: STUDY OF STREPTOZOTOCIN-INDUCED NEURODEGENERATION IN FEMALE RATS,"Cognition, Behavior, and Memory",
1,Juliette López Hanotte," Biochemistry Research Institute of La Plata Professor Dr. Rodolfo R. Brenner (INIBIOLP). School of Medical Sciences, National University of La Plata, Argentina.",SPORADIC ALZHEIMER’S DISEASE: STUDY OF STREPTOZOTOCIN-INDUCED NEURODEGENERATION IN FEMALE RATS,"Cognition, Behavior, and Memory",
2,Facundo Peralta," Biochemistry Research Institute of La Plata Professor Dr. Rodolfo R. Brenner (INIBIOLP). School of Medical Sciences, National University of La Plata, Argentina.",SPORADIC ALZHEIMER’S DISEASE: STUDY OF STREPTOZOTOCIN-INDUCED NEURODEGENERATION IN FEMALE RATS,"Cognition, Behavior, and Memory",
3,Sofía Sánchez Caro," Biochemistry Research Institute of La Plata Professor Dr. Rodolfo R. Brenner (INIBIOLP). School of Medical Sciences, National University of La Plata, Argentina.",SPORADIC ALZHEIMER’S DISEASE: STUDY OF STREPTOZOTOCIN-INDUCED NEURODEGENERATION IN FEMALE RATS,"Cognition, Behavior, and Memory",
4,Julián Grondona," Biochemistry Research Institute of La Plata Professor Dr. Rodolfo R. Brenner (INIBIOLP). School of Medical Sciences, National University of La Plata, Argentina.",SPORADIC ALZHEIMER’S DISEASE: STUDY OF STREPTOZOTOCIN-INDUCED NEURODEGENERATION IN FEMALE RATS,"Cognition, Behavior, and Memory",
5,Paula Cecilia Reggiani," Biochemistry Research Institute of La Plata Professor Dr. Rodolfo R. Brenner (INIBIOLP). School of Medical Sciences, National University of La Plata, Argentina.",SPORADIC ALZHEIMER’S DISEASE: STUDY OF STREPTOZOTOCIN-INDUCED NEURODEGENERATION IN FEMALE RATS,"Cognition, Behavior, and Memory",
0,Juliana Fátima Dalto," Instituto de Biología Celular y Neurociencia “Prof. Eduardo de Robertis""",Searching for Active Forgetting Mechanisms of Aversive Memories,"Cognition, Behavior, and Memory",
1,Fernando Castillo Díaz," Instituto de Biología Celular y Neurociencia “Prof. Eduardo de Robertis""",Searching for Active Forgetting Mechanisms of Aversive Memories,"Cognition, Behavior, and Memory",
2,Magdalena Pereyra," Instituto de Biología Celular y Neurociencia “Prof. Eduardo de Robertis""",Searching for Active Forgetting Mechanisms of Aversive Memories,"Cognition, Behavior, and Memory",
3,Jorge Horacio Medina," Instituto de Biología Celular y Neurociencia “Prof. Eduardo de Robertis""",Searching for Active Forgetting Mechanisms of Aversive Memories,"Cognition, Behavior, and Memory",
0,María Eugenia Samman,"[' iB', ' Instituto de Fisiología y Biología Molecular y Neurociencias (IFIBYNE)- CONICET']",Review of fear memory in Drosophila melanogaster: similarities and differences between electric shock and a predatory environment.,"Cognition, Behavior, and Memory",
1,Lia Frenkel,"[' iB', ' Fundación Instituto Leloir- Instituto de Investigaciones Bioquímicas de Buenos Aires (IIBBA)- CONICET']",Review of fear memory in Drosophila melanogaster: similarities and differences between electric shock and a predatory environment.,"Cognition, Behavior, and Memory",
2,Ramiro Freudenthal,"[' iB', ' Instituto de Fisiología y Biología Molecular y Neurociencias (IFIBYNE)- CONICET']",Review of fear memory in Drosophila melanogaster: similarities and differences between electric shock and a predatory environment.,"Cognition, Behavior, and Memory",
0,Nicole Coaker," Laboratorio de Neurociencias de la Memoria, IFIBYNE, UBA, CONICET",Not so resting state: Signatures of word memory consolidation during resting-state EEG,"Cognition, Behavior, and Memory",
1,Leonardo Molano Ramírez, Centro Atómico Bariloche,Not so resting state: Signatures of word memory consolidation during resting-state EEG,"Cognition, Behavior, and Memory",
2,Laura Kaczer," Laboratorio de Neurociencias de la Memoria, IFIBYNE, UBA, CONICET",Not so resting state: Signatures of word memory consolidation during resting-state EEG,"Cognition, Behavior, and Memory",
3,Luz Bavassi," Laboratorio de Neurociencias de la Memoria, IFIBYNE, UBA, CONICET",Not so resting state: Signatures of word memory consolidation during resting-state EEG,"Cognition, Behavior, and Memory",
0,Dinka Piromalli Girado, INCyT (Instituto de Neurociencia Cognitiva y Traslacional),Molecular Mechanisms involved in pattern separation in perirhinal cortex,"Cognition, Behavior, and Memory",
1,Magdalena Miranda, INCyT (Instituto de Neurociencia Cognitiva y Traslacional),Molecular Mechanisms involved in pattern separation in perirhinal cortex,"Cognition, Behavior, and Memory",
2,Pedro Bekinschtein, INCyT (Instituto de Neurociencia Cognitiva y Traslacional),Molecular Mechanisms involved in pattern separation in perirhinal cortex,"Cognition, Behavior, and Memory",
0,Aylin Agatha Vazquez Chenlo," Departamento de Bioingeniería, Instituto Tecnológico de Buenos Aires (ITBA)",K-Complex detection algorithm in non-REM sleep,"Cognition, Behavior, and Memory",
1,Julia Carosi," Departamento de Bioingeniería, Instituto Tecnológico de Buenos Aires (ITBA)",K-Complex detection algorithm in non-REM sleep,"Cognition, Behavior, and Memory",
2,Giulia Carbonari," Laboratorio de Sueño y Memoria, Depto. de Ciencias de la Vida, Instituto Tecnológico de Buenos Aires (ITBA)",K-Complex detection algorithm in non-REM sleep,"Cognition, Behavior, and Memory",
3,Cecilia Forcato," Departamento de Bioingeniería, Instituto Tecnológico de Buenos Aires (ITBA)",K-Complex detection algorithm in non-REM sleep,"Cognition, Behavior, and Memory",
4,Rodrigo Ramele," PLADEMA, UNICEN-CONICET",K-Complex detection algorithm in non-REM sleep,"Cognition, Behavior, and Memory",
0,María Sol Ramos, Instituto de Investigación en Biomedicina de Buenos Aires (IBioBA) – CONICET - Partner Institute of the Max Planck Society,Involvement of newborn and mature granule cells in contextual memory engrams.,"Cognition, Behavior, and Memory",
1,Lucía Rodriguez, Instituto de Investigación en Biomedicina de Buenos Aires (IBioBA) – CONICET - Partner Institute of the Max Planck Society,Involvement of newborn and mature granule cells in contextual memory engrams.,"Cognition, Behavior, and Memory",
